Tipo_Referencia;Codigo;Descripcion;Abreviado;TFA;TPFA;ID
^FORMA DE PAGO^;^15^;^COMPENSACION DE DEUDAS^;^.^;0;0;48
^FORMA DE PAGO^;^16^;^TARJETA DE DEBITO^;^.^;0;0;49
^FORMA DE PAGO^;^17^;^DINERO ELECTRONICO^;^.^;0;0;50
^BANCOS Y COOP^;^17^;^BANCO DE GUAYAQUIL S.A^;^GUAYAQUIL^;1;1;51
^FORMA DE PAGO^;^18^;^TARJETA PREPAGO^;^.^;0;0;52
^FORMA DE PAGO^;^19^;^TARJETA DE CREDITO^;^.^;0;0;53
^BANCOS Y COOP^;^2^;^BANCO DE FOMENTO^;^.^;0;0;54
^FORMA DE PAGO^;^20^;^OTROS CON UTILIZACION DEL SISTEMA FINANCIERO^;^.^;0;0;55
^BANCOS Y COOP^;^202^;^BANCO ECUATORIANO DE LA VIVIENDA^;^.^;0;0;56
^BANCOS Y COOP^;^203^;^CACPECO LTDA^;^.^;0;0;57
^BANCOS Y COOP^;^204^;^COOP. DE LA PEQUENA EMPRESA DE PASTAZA^;^.^;0;0;58
^BANCOS Y COOP^;^205^;^COOP. AHORRO Y CREDITO 23 DE JULIO^;^.^;0;0;59
^BANCOS Y COOP^;^206^;^COOP. AHORRO Y CREDITO 29 DE OCTUBRE^;^.^;0;0;60
^BANCOS Y COOP^;^207^;^COOP. AHORRO Y CREDITO ANDALUCIA^;^.^;0;0;61
^BANCOS Y COOP^;^208^;^COOP. AHORRO Y CREDITO COTOCOLLAO^;^.^;0;0;62
^BANCOS Y COOP^;^209^;^COOP. AHORRO Y CREDITO DESARROLLO PUEBLOS^;^.^;0;0;63
^FORMA DE PAGO^;^21^;^ENDOSO DE TITULOS^;^.^;0;0;64
^BANCOS Y COOP^;^210^;^COOP. AHORRO Y CREDITO EL SAGRARIO^;^.^;0;0;65
^BANCOS Y COOP^;^211^;^COOP. AHORRO Y CREDITO GUARANDA LTDA^;^.^;0;0;66
^BANCOS Y COOP^;^2129^;^COOP. MANUEL ESTEBAN GODOY ORTEGA LTDA. COOPMEGO^;^.^;0;0;67
^BANCOS Y COOP^;^213^;^COOP. JUVENTUD ECUATORIANA PROGRESISTA LTDA^;^COOPJEP^;1;1;68
^BANCOS Y COOP^;^215^;^BANCO COOPNACIONAL S.A^;^.^;0;0;69
^BANCOS Y COOP^;^216^;^COOP. AHORRO Y CREDITO OSCUS^;^.^;0;0;70
^BANCOS Y COOP^;^217^;^COOP. PABLO MUNOZ VEGA^;^.^;0;0;71
^BANCOS Y COOP^;^218^;^COOP. AHORRO Y CREDITO PROGRESO^;^.^;0;0;72
^BANCOS Y COOP^;^219^;^COOP. AHORRO Y CREDITO RIOBAMBA^;^.^;0;0;73
^BANCOS Y COOP^;^220^;^COOP. AHORRO Y CREDITO SAN FRANCISCO^;^.^;0;0;74
^BANCOS Y COOP^;^222^;^COOP. AHORRO Y CREDITO TULCAN^;^.^;0;0;75
^BANCOS Y COOP^;^223^;^COOP. ATUNTAQUI LTDA^;^.^;0;0;76
^BANCOS Y COOP^;^224^;^COOP. COMERCIO LTDA. [PORTOVIEJO]^;^.^;0;0;77
^BANCOS Y COOP^;^225^;^COOP. AHORRO Y CREDITO LA DOLOROSA LTDA^;^.^;0;0;78
^BANCOS Y COOP^;^226^;^COOP. PREVISION AHORRO Y DESARROLLO^;^.^;0;0;79
^BANCOS Y COOP^;^227^;^COOP.AHORRO Y CREDITO ALIANZA DEL VALLE LTDA^;^.^;0;0;80
^BANCOS Y COOP^;^228^;^COOPERATIVA DE AHORRO Y CREDITO CONSTRUCCION COMERCIO Y PRODUCCION LTDA^;^.^;0;0;81
^BANCOS Y COOP^;^229^;^COOP.AHORRO Y CREDITO CHONE LTDA^;^.^;0;0;82
^BANCOS Y COOP^;^231^;^COOP. AHORRO Y CREDITO SANTA ANA LTDA^;^.^;0;0;83
^BANCOS Y COOP^;^232^;^FINANCIERA - DINERS CLUB DEL ECUADOR S A^;^.^;0;0;84
^BANCOS Y COOP^;^233^;^MUTUALISTA AMBATO^;^.^;0;0;85
^BANCOS Y COOP^;^234^;^MUTUALISTA AZUAY^;^.^;0;0;86
^BANCOS Y COOP^;^236^;^MUTUALISTA IMBABURA^;^.^;0;0;87
^BANCOS Y COOP^;^238^;^MUTUALISTA PICHINCHA^;^.^;0;0;88
^BANCOS Y COOP^;^239^;^PACIFICARD^;^.^;0;0;89
^BANCOS Y COOP^;^24^;^BANCO CITY BANK^;^.^;0;0;90
^BANCOS Y COOP^;^25^;^BANCO MACHALA^;^.^;0;0;91
^BANCOS Y COOP^;^27^;^BANCO DELBANK S.A^;^.^;0;0;92
^BANCOS Y COOP^;^2753^;^COOP. AHORRO Y CREDITO 9 DE OCTUBRE LTDA^;^.^;0;0;93
^BANCOS Y COOP^;^29^;^BANCO DE LOJA^;^.^;0;0;94
^BANCOS Y COOP^;^30^;^BANCO DEL PACIFICO^;^PACIFICO^;1;1;95
^BANCOS Y COOP^;^32^;^BANCO INTERNACIONAL^;^INTERNACIONAL^;1;1;96
^BANCOS Y COOP^;^3304^;^COOP. DE AHORRO Y CREDITO PADRE JULIAN LORENTE LTDA^;^.^;0;0;97
^BANCOS Y COOP^;^3352^;^COOP. AHORRO Y CREDITO DE LA LA PEQUENA EMPRESA CACPE BIBLIAN LTDA^;^CACPE^;1;0;98
^BANCOS Y COOP^;^3364^;^COOP. AHORRO Y CREDITO SAN JOSE LTDA^;^.^;0;0;99
^BANCOS Y COOP^;^34^;^BANCO AMAZONAS^;^.^;0;0;100
^BANCOS Y COOP^;^35^;^BANCO DEL AUSTRO^;^.^;0;0;101
^BANCOS Y COOP^;^36^;^BANCO DE LA PRODUCCION-PROMERICA^;^PRODUBANCO^;1;1;102
^BANCOS Y COOP^;^3615^;^COOP. DE AHORRO Y CREDITO JARDIN AZUAYO^;^.^;0;0;103
^BANCOS Y COOP^;^37^;^BANCO BOLIVARIANO^;^BOLIVARIANO^;1;1;104
^BANCOS Y COOP^;^39^;^BANCO COMERCIAL DE MANABI^;^.^;0;0;105
^BANCOS Y COOP^;^40^;^BANCO SIN ASIGNAR^;^.^;0;0;106
^BANCOS Y COOP^;^4001^;^BANCO DEL INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL^;^.^;0;0;107
^BANCOS Y COOP^;^4002^;^BANCO PARA LA ASISTENCIA COMUNITARIA FINCA S.A^;^.^;0;0;108
^BANCOS Y COOP^;^4003^;^BANCO-D-MIRO S.A^;^.^;0;0;109
^BANCOS Y COOP^;^4004^;^COOP. A Y C DE LA PEQ. EMP. CACPE ZAMORA LTDA^;^.^;0;0;110
^BANCOS Y COOP^;^4005^;^COOP. A. Y C. CARROCEROS DE TUNGURAHUA^;^.^;0;0;111
^BANCOS Y COOP^;^4006^;^COOP. AHO.Y CRED.NUEVOS HORIZONTES EL ORO LTDA^;^.^;0;0;112
^BANCOS Y COOP^;^4007^;^COOP. AHORRO Y CREDITO AGRARIA MUSHUK KAWSAY LTDA^;^.^;0;0;113
^BANCOS Y COOP^;^4008^;^COOP. AHORRO Y CREDITO ALIANZA MINAS LTDA^;^.^;0;0;114
^BANCOS Y COOP^;^4009^;^COOP. AHORRO Y CREDITO CAMARA DE COMERCIO DEL CANTON BOLIVAR LTDA^;^.^;0;0;115
^BANCOS Y COOP^;^4010^;^COOP. AHORRO Y CREDITO CAMARA DE COMERCIO INDIGENA DE GUAMOTE LTDA^;^.^;0;0;116
^BANCOS Y COOP^;^4011^;^COOP. AHORRO Y CREDITO CARIAMANGA LTDA^;^.^;0;0;117
^BANCOS Y COOP^;^4012^;^COOP. AHORRO Y CREDITO DE LA CAMARA DE COMERCIO DE PINDAL CADECOPI^;^.^;0;0;118
^BANCOS Y COOP^;^4013^;^COOP. AHORRO Y CREDITO DE LA PEQUENA EMPRESA GUALAQUIZA^;^.^;0;0;119
^BANCOS Y COOP^;^4014^;^COOP. AHORRO Y CREDITO FAMILIA AUSTRAL^;^.^;0;0;120
^BANCOS Y COOP^;^4015^;^COOP. AHORRO Y CREDITO FUNDESARROLLO^;^.^;0;0;121
^BANCOS Y COOP^;^4016^;^COOP. AHORRO Y CREDITO JUAN DE SALINAS LTDA^;^.^;0;0;122
^BANCOS Y COOP^;^4017^;^COOP. AHORRO Y CREDITO LOS RIOS^;^.^;0;0;123
^BANCOS Y COOP^;^4018^;^COOP. AHORRO Y CREDITO MALCHINGUI LTDA^;^.^;0;0;124
^BANCOS Y COOP^;^4019^;^COOP. AHORRO Y CREDITO MANANTIAL DE ORO LTDA^;^.^;0;0;125
^BANCOS Y COOP^;^4020^;^COOP. AHORRO Y CREDITO MI TIERRA^;^.^;0;0;126
^BANCOS Y COOP^;^4021^;^COOP. AHORRO Y CREDITO NUEVA JERUSALEN^;^.^;0;0;127
^BANCOS Y COOP^;^4022^;^COOP. AHORRO Y CREDITO PUELLARO LTDA^;^.^;0;0;128
^BANCOS Y COOP^;^4023^;^COOP. AHORRO Y CREDITO SAN ANTONIO LTDA^;^.^;0;0;129
^BANCOS Y COOP^;^4024^;^COOP. AHORRO Y CREDITO SAN GABRIEL LTDA^;^.^;0;0;130
^BANCOS Y COOP^;^4025^;^COOP. AHORRO Y CREDITO SAN MIGUEL DE LOS BANCOS^;^.^;0;0;131
^BANCOS Y COOP^;^4026^;^COOP. AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA^;^.^;0;0;132
^BANCOS Y COOP^;^4027^;^COOP. AHORRO Y CREDITO SENOR DE GIRON^;^.^;0;0;133
^BANCOS Y COOP^;^4028^;^COOP. AHORRO Y CREDITO TENA LTDA^;^.^;0;0;134
^BANCOS Y COOP^;^4029^;^COOP. AHORRO Y CREDITO TUNGURAHUA LTDA^;^.^;0;0;135
^BANCOS Y COOP^;^4030^;^COOP. AHORRO. Y CREDI. MUJERES UNIDAS TANTANAKUSHKA WARMIKUNAPAK CACMU LTDA^;^.^;0;0;136
^BANCOS Y COOP^;^4031^;^COOP. DE A Y C EDUCADORES DE PASTAZA LTDA^;^.^;0;0;137
^BANCOS Y COOP^;^4032^;^COOP. DE A Y C GONZANAMA [MIES]^;^.^;0;0;138
^BANCOS Y COOP^;^4033^;^COOP. DE A Y C JUAN PIO DE MORA LTDA^;^.^;0;0;139
^BANCOS Y COOP^;^4034^;^COOP. DE A. Y C. 23 DE MAYO LTDA^;^.^;0;0;140
^BANCOS Y COOP^;^4035^;^COOP. DE A. Y C. BANOS LTDA^;^.^;0;0;141
^BANCOS Y COOP^;^4036^;^COOP. DE A. Y C. CASAG LTDA^;^.^;0;0;142
^BANCOS Y COOP^;^4037^;^COOP. DE A. Y C. CREDISUR LTDA^;^.^;0;0;143
^BANCOS Y COOP^;^4038^;^COOP. DE A. Y C. DE LA PEQ. EMPRESA CACPE MACARA^;^.^;0;0;144
^BANCOS Y COOP^;^4039^;^COOP. DE A. Y C. DE LOS SERV. PUBL. DEL MIN. DE EDUCACION Y CULTURA^;^.^;0;0;145
^BANCOS Y COOP^;^4040^;^COOP. DE A. Y C. DEL COL. FISC. EXPER. VICENTE ROCAFUERTE^;^.^;0;0;146
^BANCOS Y COOP^;^4041^;^COOP. DE A. Y C. DESARROLLO INTEGRAL LTDA^;^.^;0;0;147
^BANCOS Y COOP^;^4042^;^COOP. DE A. Y C. ECUAFUTURO LTDA^;^.^;0;0;148
^BANCOS Y COOP^;^4043^;^COOP. DE A. Y C. ESCENCIA INDIGENA LTDA^;^.^;0;0;149
^BANCOS Y COOP^;^4044^;^COOP. DE A. Y C. FOCLA^;^.^;0;0;150
^BANCOS Y COOP^;^4045^;^COOP. DE A. Y C. FUTURO Y PROGRESO DE GALAPAGOS LTDA^;^.^;0;0;151
^BANCOS Y COOP^;^4046^;^COOP. DE A. Y C. GENERAL RUMINAHUI^;^.^;0;0;152
^BANCOS Y COOP^;^4047^;^COOP. DE A. Y C. GRAMEEN AMAZONAS^;^.^;0;0;153
^BANCOS Y COOP^;^4048^;^COOP. DE A. Y C. GUAMOTE LTDA^;^.^;0;0;154
^BANCOS Y COOP^;^4049^;^COOP. DE A. Y C. LUCHA CAMPESINA LTDA^;^.^;0;0;155
^BANCOS Y COOP^;^4050^;^COOP. DE A. Y C. MAQUITA CUSHUN LTDA^;^.^;0;0;156
^BANCOS Y COOP^;^4051^;^COOP. DE A. Y C. MAQUITA CUSHUNCHIC LTDA^;^.^;0;0;157
^BANCOS Y COOP^;^4052^;^COOP. DE A. Y C. PIJAL^;^.^;0;0;158
^BANCOS Y COOP^;^4053^;^COOP. DE A. Y C. PROFESIONALES DEL VOLANTE UNION LTDA [MIES]^;^.^;0;0;159
^BANCOS Y COOP^;^4054^;^COOP. DE A. Y C. SANTA ROSA DE PATUTAN LTDA^;^.^;0;0;160
^BANCOS Y COOP^;^4055^;^COOP. DE A. Y C. SIERRA CENTRO LTDA^;^.^;0;0;161
^BANCOS Y COOP^;^4056^;^COOP. DE A. Y C. SINCHI RUNA LTDA^;^.^;0;0;162
^BANCOS Y COOP^;^4057^;^COOP. DE A. Y C. SUMAC LLACTA LTDA^;^.^;0;0;163
^BANCOS Y COOP^;^4058^;^COOP. DE A. Y C. UNION MERCEDARIA LTDA^;^.^;0;0;164
^BANCOS Y COOP^;^4059^;^COOP. DE A. Y C. VALLES DEL LIRIO^;^.^;0;0;165
^BANCOS Y COOP^;^4060^;^COOP. DE A. Y C. VENCEDORES DE TUNGURAHUA^;^.^;0;0;166
^BANCOS Y COOP^;^4061^;^COOP. DE AHORRO Y CREDITO ÔSIMIATUG LTDAÔ^;^.^;0;0;167
^BANCOS Y COOP^;^4062^;^COOP. DE AHORRO Y CREDITO 4 DE OCTUBRE LTDA^;^.^;0;0;168
^BANCOS Y COOP^;^4063^;^COOP. DE AHORRO Y CREDITO ACCION Y DESARROLLO LTDA^;^.^;0;0;169
^BANCOS Y COOP^;^4064^;^COOP. DE AHORRO Y CREDITO ALFONSO JARAMILLO C.C.C^;^.^;0;0;170
^BANCOS Y COOP^;^4065^;^COOP. DE AHORRO Y CREDITO ANDINA LTDA^;^.^;0;0;171
^BANCOS Y COOP^;^4066^;^COOP. DE AHORRO Y CREDITO CAMARA DE COMERCIO DE AMBATO LTDA^;^.^;0;0;172
^BANCOS Y COOP^;^4067^;^COOP. DE AHORRO Y CREDITO CREDI FACIL LTDA^;^.^;0;0;173
^BANCOS Y COOP^;^4068^;^COOP. DE AHORRO Y CREDITO CREDIAMIGO LTDA. LOJA [MIES]^;^.^;0;0;174
^BANCOS Y COOP^;^4069^;^COOP. DE AHORRO Y CREDITO CRISTO REY^;^.^;0;0;175
^BANCOS Y COOP^;^4070^;^COOP. DE AHORRO Y CREDITO DE LA PEQ. EMP. CACPE YANZATZA LTDA^;^.^;0;0;176
^BANCOS Y COOP^;^4071^;^COOP. DE AHORRO Y CREDITO DORADO LTDA^;^.^;0;0;177
^BANCOS Y COOP^;^4072^;^COOP. DE AHORRO Y CREDITO EDUC.DEL TUNGURAHUA LTDA^;^.^;0;0;178
^BANCOS Y COOP^;^4073^;^COOP. DE AHORRO Y CREDITO EDUCADORES DE CHIMBORAZO^;^.^;0;0;179
^BANCOS Y COOP^;^4074^;^COOP. DE AHORRO Y CREDITO HUAICANA LTDA^;^.^;0;0;180
^BANCOS Y COOP^;^4075^;^COOP. DE AHORRO Y CREDITO HUAQUILLAS LTDA^;^.^;0;0;181
^BANCOS Y COOP^;^4076^;^COOP. DE AHORRO Y CREDITO JADAN LTDA. [MIES]^;^.^;0;0;182
^BANCOS Y COOP^;^4077^;^COOP. DE AHORRO Y CREDITO LA MERCED LTDA^;^.^;0;0;183
^BANCOS Y COOP^;^4078^;^COOP. DE AHORRO Y CREDITO MUSHUC RUNA LTDA^;^.^;0;0;184
^BANCOS Y COOP^;^4079^;^COOP. DE AHORRO Y CREDITO NUESTROS ABUELOS LTDA^;^.^;0;0;185
^BANCOS Y COOP^;^4080^;^COOP. DE AHORRO Y CREDITO NUEVA HUANCAVILCA LTDA^;^.^;0;0;186
^BANCOS Y COOP^;^4081^;^COOP. DE AHORRO Y CREDITO PEDRO MONCAYO LTDA^;^.^;0;0;187
^BANCOS Y COOP^;^4082^;^COOP. DE AHORRO Y CREDITO PILAHUIN TIO LTDA^;^.^;0;0;188
^BANCOS Y COOP^;^4083^;^COOP. DE AHORRO Y CREDITO PUERTO LOPEZ LTDA^;^.^;0;0;189
^BANCOS Y COOP^;^4084^;^COOP. DE AHORRO Y CREDITO SAN MIGUEL DE SIGCHOS^;^.^;0;0;190
^BANCOS Y COOP^;^4085^;^COOP. ESFUERZO UNIDO PARA EL DESARR. DEL CHILCO LA ESPERANZA^;^.^;0;0;191
^BANCOS Y COOP^;^4086^;^COOP.AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE LOJA CACPE LOJA LTDA^;^.^;0;0;192
^BANCOS Y COOP^;^4087^;^COOP.AHORRO Y CREDITO PRIMERO DE ENERO DEL AUSTRO COOPEA^;^.^;0;0;193
^BANCOS Y COOP^;^4088^;^COOP.DE AHORRO Y CREDITO COCA LTDA^;^.^;0;0;194
^BANCOS Y COOP^;^4089^;^COOP.DE AHORRO Y CREDITO HUAYCO PUNGO LTDA^;^.^;0;0;195
^BANCOS Y COOP^;^4091^;^COOPERATIVA 15 DE AGOSTO PILACOTO^;^.^;0;0;196
^BANCOS Y COOP^;^4092^;^COOPERATIVA DE AHORRO Y CREDITO ÔSAN JORGE LTDAÔ^;^.^;0;0;197
^BANCOS Y COOP^;^4093^;^COOPERATIVA DE AHORRO Y CREDITO 27 DE ABRIL LOJA^;^.^;0;0;198
^BANCOS Y COOP^;^4094^;^COOPERATIVA DE AHORRO Y CREDITO AGRICOLA ÔJUNINÔ LTDA^;^.^;0;0;199
^BANCOS Y COOP^;^4095^;^COOPERATIVA DE AHORRO Y CREDITO AMBATO LTDA^;^.^;0;0;200
^BANCOS Y COOP^;^4096^;^COOPERATIVA DE AHORRO Y CREDITO ARTESANOS LTDA^;^.^;0;0;201
^BANCOS Y COOP^;^4097^;^COOPERATIVA DE AHORRO Y CREDITO CAC-CICA [MIES]^;^.^;0;0;202
^BANCOS Y COOP^;^4098^;^COOPERATIVA DE AHORRO Y CREDITO CACPE CELICA^;^.^;0;0;203
^BANCOS Y COOP^;^4099^;^COOPERATIVA DE AHORRO Y CREDITO CATAMAYO LTDA. [MIES]^;^.^;0;0;204
^BANCOS Y COOP^;^4100^;^COOPERATIVA DE AHORRO Y CREDITO EL CALVARIO LTDA^;^.^;0;0;205
^BANCOS Y COOP^;^4101^;^COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA^;^.^;0;0;206
^BANCOS Y COOP^;^4102^;^COOPERATIVA DE AHORRO Y CREDITO FERNANDO DAQUILEMA^;^.^;0;0;207
^BANCOS Y COOP^;^4103^;^COOPERATIVA DE AHORRO Y CREDITO FORTUNA [MIES]^;^.^;0;0;208
^BANCOS Y COOP^;^4104^;^COOPERATIVA DE AHORRO Y CREDITO INTEGRAL^;^.^;0;0;209
^BANCOS Y COOP^;^4105^;^COOPERATIVA DE AHORRO Y CREDITO LLANGANATES^;^.^;0;0;210
^BANCOS Y COOP^;^4106^;^COOPERATIVA DE AHORRO Y CREDITO MARCABELI LTDA^;^.^;0;0;211
^BANCOS Y COOP^;^4107^;^COOPERATIVA DE AHORRO Y CREDITO NUEVA ESPERANZA^;^.^;0;0;212
^BANCOS Y COOP^;^4108^;^COOPERATIVA DE AHORRO Y CREDITO PILAHUIN^;^.^;0;0;213
^BANCOS Y COOP^;^4109^;^COOPERATIVA DE AHORRO Y CREDITO PROVIDA^;^.^;0;0;214
^BANCOS Y COOP^;^4110^;^COOPERATIVA DE AHORRO Y CREDITO PUCARA LTDA^;^.^;0;0;215
^BANCOS Y COOP^;^4111^;^COOPERATIVA DE AHORRO Y CREDITO QUILANGA LTDA^;^.^;0;0;216
^BANCOS Y COOP^;^4112^;^COOPERATIVA DE AHORRO Y CREDITO SAN JOSE S.J^;^.^;0;0;217
^BANCOS Y COOP^;^4113^;^COOPERATIVA DE AHORRO Y CREDITO SANTA ANITA LTDA^;^.^;0;0;218
^BANCOS Y COOP^;^4115^;^FONDO DE CESANTIA DEL MAGISTERIO ECUATORIANO FCME-FCPC^;^.^;0;0;219
^BANCOS Y COOP^;^4116^;^INTERDIN S.A^;^.^;0;0;220
^BANCOS Y COOP^;^4117^;^COOP. AHORRO Y CREDITO AMAZONAS LTDA^;^.^;0;0;221
^BANCOS Y COOP^;^4118^;^COOP. DE A. Y C. FINANCIERA INDIGENA LTDA^;^.^;0;0;222
^BANCOS Y COOP^;^4119^;^COOP. DE A. Y C. 20 DE FEBRERO LTDA^;^.^;0;0;223
^BANCOS Y COOP^;^4120^;^COOP. DE A. Y C. EDUCADORES TULCAN LTDA^;^.^;0;0;224
^BANCOS Y COOP^;^4166^;^FINANCIERA - CONSULCREDITO S.A^;^.^;0;0;225
^BANCOS Y COOP^;^4167^;^COOPERATIVA DE AHORRO Y CREDITO HUINARA LTDA. [MIES]^;^.^;0;0;226
^BANCOS Y COOP^;^4168^;^COOP. DE A. Y C. INKA KIPU LTDA^;^.^;0;0;227
^BANCOS Y COOP^;^4169^;^COOP. DE A. Y C. ACCION TUNGURAHUA LTDA^;^.^;0;0;228
^BANCOS Y COOP^;^4170^;^COOP. DE A. Y C. 16 DE JUNIO^;^.^;0;0;229
^BANCOS Y COOP^;^4171^;^COOP. A.Y C. ESC.SUP.POLITEC. AGROP. DE MANABI MANUEL FELIX LOPEZ LTDA^;^.^;0;0;230
^BANCOS Y COOP^;^4172^;^COOP. DE A. Y C. INDIGENA ALFA Y OMEGA LTDA.ALFA Y OMEGA LTDA^;^.^;0;0;231
^BANCOS Y COOP^;^4173^;^COOP. DE A. Y C. FENIX^;^.^;0;0;232
^BANCOS Y COOP^;^4174^;^COOP. DE AHORRO Y CREDITO LOS ANDES LATINOS LTDA^;^.^;0;0;233
^BANCOS Y COOP^;^4175^;^COOP. DE AHORRO Y CREDITO GUARUMAL DEL CENTRO LTDA^;^.^;0;0;234
^BANCOS Y COOP^;^4177^;^COOP. DE A. Y C. COOPAC AUSTRO LTDA [MIESS]^;^.^;0;0;235
^BANCOS Y COOP^;^4178^;^COOPERATIVA DE AHORRO Y CREDITO CREA LTDA [ MIES]^;^.^;0;0;236
^BANCOS Y COOP^;^4179^;^CCOP. DE A. Y C. SALASACA^;^.^;0;0;237
^BANCOS Y COOP^;^4180^;^COOP. DE A. Y C. SUMAK SAMY LTDA^;^.^;0;0;238
^BANCOS Y COOP^;^4181^;^COOP. DE A. Y C. INTERCULT. TARPUK RUNA LTDA^;^.^;0;0;239
^BANCOS Y COOP^;^4182^;^COOP. DE A. Y C. CHIBULEO LTDA^;^.^;0;0;240
^BANCOS Y COOP^;^4183^;^COOP. DE A. Y C. EL TESORO PILLARENO^;^.^;0;0;241
^BANCOS Y COOP^;^4184^;^COOP. DE A. Y C. KISAPINCHA LTDA^;^.^;0;0;242
^BANCOS Y COOP^;^4185^;^COOP. DE A. Y C. JUVENTUD UNIDA LTDA^;^.^;0;0;243
^BANCOS Y COOP^;^4186^;^COOP. DE A. Y C. UNION QUISAPINCHA LTDA^;^.^;0;0;244
^BANCOS Y COOP^;^4187^;^COOP. DE A. Y C. 13 DE ABRIL LTDA^;^.^;0;0;245
^BANCOS Y COOP^;^4188^;^COOP. DE A. Y C. SALINAS LTDA^;^.^;0;0;246
^BANCOS Y COOP^;^4189^;^COOP. DE A. Y C. SAN PEDRO LTDA^;^.^;0;0;247
^BANCOS Y COOP^;^4190^;^COOP. DE A. Y C. VIRGEN DEL CISNE^;^.^;0;0;248
^BANCOS Y COOP^;^4191^;^COOP. DE A. Y C. LOS CHASQUIS PASTOCALLE LTDA^;^.^;0;0;249
