Periodo;Item;TC;CTP;Descripcion;DM;Cta_Prestamo;Cta_Interes;Cta_Comision;Cta_Gas_Oper;Cta_Int_Ganado;Cta_Com_Ganado;Cta_Int_Efec;Cta_Com_Efec;Cta_Int_Mora;Cta_Impuesto;Cta_Vencidos;Cta_Provision;Cta_Solca;Cta_Tesoro;Cta_Otro_Imp;Cta_Cobranzas;Cta_Capital;Cta_Mora;Cta_Ganado;Cta_Interes_Mora;Cta_Reliquidacion;Interes;Interes_Reliq;Interes_Gastos_Operativos;Codigo;Dias;Cta_P_1_30;Cta_P_31_90;Cta_P_91_180;Cta_P_181_360;Cta_P_Mas_360;Cta_V_1_30;Cta_V_31_90;Cta_V_91_180;Cta_V_181_360;Cta_V_Mas_360;Sobre_Interes;Interes_Precancelacion;Cta_No_Devenga_Int;X;ID
^.^;^000^;1;^P/A^;^Prestamos Automaticos^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;11
^.^;^000^;1;^C/C^;^Compra de Cartera^;1;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;12
^.^;^000^;1;^PO04^;^Polizas a 180 dÌas^;1;^0^;^4.1.03.04^;^0^;^5.3.01.02^;^2.1.04.04^;^0^;^2.9.04^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;8.0;5.0000001E-2;0.0;^.^;180;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;13
^.^;^000^;1;^PO01^;^Polizas a 30 dÌas^;1;^0^;^4.1.03.01^;^0^;^5.3.01.02^;^2.1.04.01^;^0^;^2.9.01^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;30;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;14
^.^;^000^;1;^PO05^;^Polizas a 360 dÌas^;1;^0^;^4.1.03.05^;^0^;^5.3.01.02^;^2.1.04.05^;^0^;^2.9.05^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;9.0;5.0000001E-2;0.0;^.^;360;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;15
^.^;^000^;1;^PO02^;^Polizas a 60 dÌas^;1;^0^;^4.1.03.02^;^0^;^5.3.01.02^;^2.1.04.02^;^0^;^2.9.02^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;60;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;16
^.^;^000^;1;^PO03^;^Polizas a 90 dÌas^;1;^0^;^4.1.03.03^;^0^;^5.3.01.02^;^2.1.04.03^;^0^;^2.9.03^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;7.0;5.0000001E-2;0.0;^.^;90;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;17
^.^;^000^;1;^P/E^;^Prestamo Emergente^;1;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;18
^.^;^000^;1;^P/A^;^Prestamos Autom·ticos^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;19
^.^;^000^;1;^P/C^;^Prestamos de Consumo^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;20
^.^;^000^;1;^P/H^;^Prestamos Hipotecarios Viviendaxxxx^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;21
^.^;^000^;1;^PO02^;^Polizas a 60 d›as^;1;^0^;^4.1.03.02^;^0^;^5.3.01.02^;^2.1.04.02^;^0^;^2.9.02^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;60;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;22
^.^;^000^;1;^PO03^;^Polizas a 90 d›as^;1;^0^;^4.1.03.03^;^0^;^5.3.01.02^;^2.1.04.03^;^0^;^2.9.03^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;7.0;5.0000001E-2;0.0;^.^;90;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;23
^.^;^000^;1;^P/A^;^Prestamos Automﬂticos^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;24
^.^;^000^;1;^PO04^;^Polizas a 180 d›as^;1;^0^;^4.1.03.04^;^0^;^5.3.01.02^;^2.1.04.04^;^0^;^2.9.04^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;8.0;5.0000001E-2;0.0;^.^;180;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;25
^.^;^000^;1;^PO01^;^Polizas a 30 d›as^;1;^0^;^4.1.03.01^;^0^;^5.3.01.02^;^2.1.04.01^;^0^;^2.9.01^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;30;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;26
^.^;^000^;1;^PO05^;^Polizas a 360 d›as^;1;^0^;^4.1.03.05^;^0^;^5.3.01.02^;^2.1.04.05^;^0^;^2.9.05^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;9.0;5.0000001E-2;0.0;^.^;360;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;27
