Periodo;TL;Codigo;Concepto;Fact;CxC;Cta_Venta;Logo_Factura;Largo;Ancho;Item;Individual;Espacios;Pos_Factura;Fact_Pag;Pos_Y_Fact;Serie;Autorizacion;Vencimiento;Fecha;Secuencial;ItemsxFA;Grupo_I;Grupo_F;CxC_Anterior;Imp_Mes;Nombre_Establecimiento;Direccion_Establecimiento;Telefono_Estab;Logo_Tipo_Estab;Tipo_Impresion;X;Email_Establecimiento;RUC_Establecimiento;Placa_Vehiculo;Cta_Establecimiento;Picture;ID
^.^;1;^FA001002^;^FACTURACION C.E.^;^FA^;^1.1.01.05^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001002^;^1127782029^;^Jan  1 2024 12:00AM^;^Jan  1 2022 12:00AM^;1;0;^.^;^.^;^1.1.01.05^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;11
^.^;1;^FE001003^;^S001003^;^FA^;^1.1.02.01^;^0^;^NINGUNO^;9.3000002;18.0;^998^;0;9.9999998E-3;0.0;3;0.0;^001003^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.01.0^;1;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;12
^.^;1;^GR001002^;^GUIA DE REMISION 001002^;^GR^;^1.9.11^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001002^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.9.11^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;13
^.^;1;^GR001002^;^LIQUIDACION DE COMPRAS C.E. p^;^GR^;^1.9.11^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001007^;^11277820299^;^Dec 31 2024 12:00AM^;^Jan  1 2022 12:00AM^;1;0;^.^;^.^;^1.9.11^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;14
^.^;1;^GR001003^;^GUIA DE REMISION 001003^;^FA^;^1.9.10.01^;^.^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001002^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.9.10.01^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;15
^.^;1;^GRE001003^;^GR001003^;^GR^;^1.1.02^;^.^;^NINGUNO^;9.3000002;18.0;^998^;0;9.9999998E-3;0.0;3;0.0;^001003^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.0^;0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;16
^.^;1;^LC001001^;^LIQUIDACION DE COMPRAS^;^LC^;^1.9.10^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001001^;^1127782029^;^Dec 31 2023 12:00AM^;^Jan  1 2022 12:00AM^;16101;0;^.^;^.^;^1.9.10^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;17
^.^;1;^LC001002^;^LIQUIDACION DE COMPRAS C.E.^;^LC^;^1.9.10^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001002^;^1127782029^;^Dec 31 2023 12:00AM^;^Jan  1 2022 12:00AM^;1;0;^.^;^.^;^1.9.10^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;18
^.^;1;^LC001002^;^LIQUIDACION DE COMPRAS C.E.^;^LC^;^1.9.10^;^0^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;0.0;1;0.02;^001002^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;0;0;^.^;^.^;^1.9.10^;0;^Nombre establecimiento^;^direccion prueba^;^022222222^;^.^;0;^X^;^eample@establecimeinto.com^;^123456789^;^.^;^.^;^.^;19
^.^;1;^RE001003^;^R001003^;^FA^;^1.1.02.^;^.^;^NINGUNO^;9.3000002;18.0;^998^;0;9.9999998E-3;0.0;3;0.0;^001003^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.01^;0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;20
^.^;1;^RE001004^;^R001004^;^FA^;^1.1.02^;^.^;^NINGUNO^;9.3000002;18.0;^998^;0;9.9999998E-3;0.0;3;0.0;^001004^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.0^;0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;21
^.^;1;^S001003^;^001002^;^NC^;^1.1.02.01.01.001^;^0^;^NINGUNO^;0.0;0.0;^998^;0;1.0;1.0;0;10.0;^001003^;^0702164179001^;^Dec 31 2024 12:00AM^;^Dec 31 2023 12:00AM^;1;100;^.^;^.^;^.1.04.01.07^;0;^ddd^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;22
^.^;1;^CXC^;^CXC CLIENTES^;^FA^;^1.1.04.01.07^;^.^;^FactMult^;9.3000002;10.0;^000^;0;0.0;0.0;0;0.0;^001001^;^0123456789^;^Dec 31 2010 12:00AM^;^Nov 12 2009 12:00AM^;0;0;^.^;^.^;^1.1.04.01.07^;0;^.^;^.^;^.^;^.^;0;^X^;^.^;^.^;^.^;^.^;^0^;23
