Item;TP;Num;Codigo;Tipo_Objeto;Texto;Pos_Xo;Pos_Yo;Pos_Xf;Pos_Yf;Radio;Color;Vertical;Negrilla;Centrar;Tipo_Letra;Tamaño;X;ID
^000^;^IF^;10;^010^;^TEXTO^;^D E S C R I P C I O N:^;6.0;5.7000000000000002;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;14.0;^X^;17
^000^;^IF^;10;^010^;^TEXTO^;^D E S C R I P C I Ó N:^;6.0;5.7000000000000002;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;14.0;^.^;18
^000^;^IF^;10;^010^;^TEXTO^;^D E S C R I P C I Ë N:^;6.0;5.7000000000000002;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;14.0;^X^;19
^000^;^IF^;11;^011^;^TEXTO^;^VALOR UNITARIO^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;20
^000^;^IF^;12;^012^;^TEXTO^;^VALOR TOTAL^;16.5;5.7000000000000002;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;21
^000^;^IF^;13;^013^;^TEXTO^;^SUBTOTAL:^;13.0;9.1999999999999993;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;22
^000^;^IF^;14;^014^;^TEXTO^;^DESCUENTO:^;13.0;9.6500000000000004;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;23
^000^;^IF^;15;^015^;^TEXTO^;^IVA 12%:^;13.0;10.1;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;24
^000^;^IF^;16;^016^;^TEXTO^;^TOTAL FACTURA:^;13.0;10.550000000000001;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;25
^000^;^IF^;17;^017^;^TEXTO^;^DEUDA PENDIENTE:^;13.0;11.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;26
^000^;^IF^;18;^018^;^TEXTO^;^TOTAL A PAGAR^;13.0;11.449999999999999;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;27
^000^;^IF^;19;^019^;^TEXTO^;^RECIBI CONFORME^;2.5;10.6;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;28
^000^;^IF^;20;^020^;^TEXTO^;^ENTREGUE CONFORME^;7.5;10.6;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;29
^000^;^IF^;21;^021^;^TEXTO^;^CODIGO COLEGIO:^;1.5;3.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;30
^000^;^IF^;22;^022^;^TEXTO^;^TELEFONO:^;12.5;3.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^X^;31
^000^;^IF^;22;^022^;^TEXTO^;^TELÉFONO:^;12.5;3.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;32
^000^;^IF^;22;^022^;^TEXTO^;^TEL+FONO:^;12.5;3.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^X^;33
^000^;^IF^;40;^040^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;34
^000^;^IF^;41;^041^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;35
^000^;^IF^;42;^042^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;36
^000^;^IF^;43;^043^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;37
^000^;^IF^;44;^044^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;38
^000^;^IF^;45;^045^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;39
^000^;^IF^;46;^046^;^CUADRO^;^Ninguno^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;40
^000^;^IF^;80;^080^;^LINEA^;^LINEAH - 18^;1.5;5.5999999999999996;19.5;5.5999999999999996;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;41
^000^;^IF^;81;^081^;^LINEA^;^LINEAH - 18^;1.5;6.2999999999999998;19.5;6.2999999999999998;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;42
^000^;^IF^;82;^082^;^LINEA^;^LINEAH - 18^;1.5;9.0999999999999996;19.5;9.0999999999999996;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;43
^000^;^IF^;83;^083^;^LINEA^;^LINEAH - 3.7^;2.3999999999999999;10.5;6.0999999999999996;10.5;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;44
^000^;^IF^;84;^084^;^LINEA^;^LINEAH - 4.5^;7.4000000000000004;10.5;11.9;10.5;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;45
^000^;^IF^;85;^085^;^LINEA^;^LINEAV - 3.35^;16.399999999999999;5.7000000000000002;16.399999999999999;9.0500000000000007;0.0;^Negro^;0;0;0;^Courier New^;1.0;^.^;46
^000^;^IF^;120;^120^;^GRAFICO^;^SDGGYECO^;0.0;0.0;4.0;1.5;0.0;^Negro^;0;0;0;^.^;6.0;^.^;47
^000^;^RC^;0;^000^;^FORMATO^;^RECIBO DE CAJA^;1.0;0.5;0.0;0.0;0.0;^Negro^;0;0;0;^.^;6.0;^.^;48
^000^;^RC^;6;^000^;^GRAFICO^;^SDGGYECO^;0.01;0.01;2.0;1.1000000000000001;0.0;^Negro^;0;0;0;^.^;6.0;^.^;49
^000^;^RC^;8;^001^;^TEXTO^;^Congregación de Hermanas Dominicas de la Inmaculada Concepción^;0.0;0.0;9.0;16.5;0.0;^Negro^;0;0;0;^.^;6.0;^.^;50
^000^;^RC^;8;^001^;^TEXTO^;^Congregacion de Hermanas Dominicas de la Inmaculada Concepcion^;0.0;0.0;9.0;16.5;0.0;^Negro^;0;0;0;^.^;6.0;^X^;51
^000^;^RC^;8;^001^;^TEXTO^;^Congregaci¾n de Hermanas Dominicas de la Inmaculada Concepci¾n^;0.0;0.0;9.0;16.5;0.0;^Negro^;0;0;0;^.^;6.0;^X^;52
^000^;^RC^;8;^002^;^TEXTO^;^UNIDAD EDUCATIVA PARTICULAR BILINGÜE^;1.0;0.34999999999999998;9.0;16.5;0.0;^Negro^;0;0;1;^.^;7.0;^.^;53
^000^;^RC^;8;^002^;^TEXTO^;^UNIDAD EDUCATIVA PARTICULAR BILINGUE^;1.0;0.34999999999999998;9.0;16.5;0.0;^Negro^;0;0;1;^.^;7.0;^X^;54
^000^;^RC^;8;^002^;^TEXTO^;^UNIDAD EDUCATIVA^;0.5;0.34999999999999998;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;55
^000^;^RC^;8;^002^;^TEXTO^;^UNIDAD EDUCATIVA PARTICULAR BILING_E^;1.0;0.34999999999999998;9.0;16.5;0.0;^Negro^;0;0;1;^.^;7.0;^X^;56
^000^;^RC^;8;^003^;^TEXTO^;^"S T E L L A M A R I S"^;0.5;0.69999999999999996;9.0;16.5;0.0;^Negro^;0;1;1;^.^;9.0;^.^;57
^000^;^RC^;8;^003^;^TEXTO^;^"SANTO DOMINGO DE GUZMAN"^;0.80000000000000004;0.69999999999999996;9.0;16.5;0.0;^Negro^;0;1;1;^.^;0.0;^.^;58
^000^;^RC^;8;^003^;^TEXTO^;^ïS T E L L A M A R I Sï^;0.5;0.69999999999999996;9.0;16.5;0.0;^Negro^;0;1;1;^.^;9.0;^X^;59
^000^;^RC^;8;^003^;^TEXTO^;^ïS T E L L A M A R I Sï^;0.5;0.69999999999999996;9.0;16.5;0.0;^Negro^;0;1;1;^.^;9.0;^X^;60
^000^;^RC^;8;^003^;^TEXTO^;^ïSANTO DOMINGO DE GUZMANï^;0.80000000000000004;0.69999999999999996;9.0;16.5;0.0;^Negro^;0;1;1;^.^;0.0;^X^;61
^000^;^RC^;8;^004^;^TEXTO^;^R.U.C. 0990054088001^;1.3999999999999999;1.45;9.0;16.5;0.0;^Negro^;0;1;1;^.^;6.0;^.^;62
^000^;^RC^;8;^004^;^TEXTO^;^R.U.C. 1391721978001^;1.3999999999999999;1.45;9.0;16.5;0.0;^Negro^;0;1;1;^.^;0.0;^.^;63
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;64
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;65
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;66
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;67
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;68
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;69
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;70
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;71
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;72
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;73
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;74
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;75
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;76
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;77
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;78
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;79
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;80
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;81
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;82
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;83
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;84
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;85
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;86
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;87
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;88
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;89
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;90
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;91
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;92
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;93
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;94
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;95
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;96
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;97
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;98
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;99
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;100
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;101
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;102
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;103
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;104
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;105
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;106
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;107
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;108
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;109
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;110
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;111
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;112
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;113
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;114
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;115
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;116
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;117
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;118
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;119
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;120
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;121
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;122
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;123
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;124
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;125
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;126
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;127
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;128
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;129
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;130
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;131
^000^;^RC^;8;^005^;^TEXTO^;^Urdesa Central Calle Quinta No. 608 y Av. Las Monjas * Telefax: 042882561 *^;0.10000000000000001;1.2;9.0;16.5;0.0;^Negro^;0;0;1;^.^;0.0;^.^;132
