Periodo;Item;TC;Serie;Autorizacion;Fecha_Inicio;Fecha_Final;Formato_Factura;Largo;Ancho;Espacios;Pos_Factura;Fact_Pag;Pos_Y_Fact;Nombre_Establecimiento;Direccion_Establecimiento;Telefono_Estab;Logo_Tipo_Estab;Tipo_Impresion;Cod_CxC;Concepto;X;ID
^.^;^998^;^FA^;^001001^;^1114860591^;^Jan 15 2015 12:00AM^;^Feb  3 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;35
^.^;^998^;^FA^;^001001^;^1118161281^;^Jan 22 2016 12:00AM^;^Aug  2 2016 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;36
^.^;^998^;^FA^;^001001^;^1120074858^;^May  2 2017 12:00AM^;^Sep  1 2017 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;37
^.^;^998^;^FA^;^001001^;^1112460127^;^Jun  4 2013 12:00AM^;^Sep  4 2013 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;38
^.^;^998^;^FA^;^001001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50001^;^A) GERENCIA^;^.^;39
^.^;^998^;^FA^;^001001^;^1117012896^;^Aug  3 2015 12:00AM^;^Jan 13 2016 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;40
^.^;^998^;^FA^;^001001^;^0123456789^;^May  4 2010 12:00AM^;^Jun  1 2010 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRFM^;^.^;^.^;41
^.^;^998^;^FA^;^001001^;^1116239590^;^Oct  9 2014 12:00AM^;^Apr  7 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRFM^;^.^;^.^;42
^.^;^998^;^FA^;^001001^;^1116656121^;^Mar 30 2015 12:00AM^;^Jun  3 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRFM^;^.^;^.^;43
^.^;^998^;^FA^;^001001^;^1111415411^;^Sep  4 2012 12:00AM^;^May  3 2013 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;44
^.^;^998^;^FA^;^001001^;^1113743714^;^Nov  7 2013 12:00AM^;^May  5 2014 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;45
^.^;^998^;^FA^;^001001^;^0590031984001^;^Feb 19 2017 12:00AM^;^Dec 29 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50873^;^BATA CARPA^;^.^;46
^.^;^998^;^FA^;^001001^;^1119177385^;^Aug 15 2016 12:00AM^;^Oct  3 2016 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;47
^.^;^998^;^FA^;^001001^;^1119275103^;^Oct  5 2016 12:00AM^;^Mar  6 2017 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;48
^.^;^998^;^FA^;^001001^;^1119177385^;^Aug  2 2016 12:00AM^;^Oct  3 2016 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;49
^.^;^998^;^FA^;^001001^;^1119275103^;^Oct  3 2016 12:00AM^;^Mar  6 2017 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;50
^.^;^998^;^FA^;^001001^;^1114860591^;^Jan  8 2014 12:00AM^;^Mar  5 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;51
^.^;^998^;^FA^;^001001^;^0123456789^;^Apr  5 2010 12:00AM^;^Jun  1 2011 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;52
^.^;^998^;^FA^;^001001^;^1113268131^;^Oct  3 2013 12:00AM^;^Oct  3 2013 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;53
^.^;^998^;^FA^;^001001^;^1116239590^;^Mar 11 2015 12:00AM^;^Apr  7 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;54
^.^;^998^;^FA^;^001001^;^1116656121^;^Apr 29 2015 12:00AM^;^Aug 31 2015 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;55
^.^;^998^;^FA^;^001001^;^1127782029^;^Dec 31 2019 12:00AM^;^Dec 31 2020 12:00AM^;^NINGUNO^;9.3999996;10.4;0.0;10.5;1;0.02;^.^;^.^;^.^;^.^;0;^FA001001^;^FACTURACION fa^;^.^;56
^.^;^998^;^FA^;^001001^;^1127782029^;^Dec 31 2019 12:00AM^;^Dec 31 2020 12:00AM^;^NINGUNO^;9.3999996;10.4;0.0;10.5;1;0.02;^.^;^.^;^.^;^.^;0;^FA001001^;^FACTURACION^;^.^;57
^.^;^998^;^FA^;^001001^;^0702164179001^;^Jan  1 2022 12:00AM^;^Jan  1 2023 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001003^;^S001003^;^.^;58
^.^;^998^;^FA^;^001002^;^0702164179001^;^Jan  1 2023 12:00AM^;^Jan  1 2024 12:00AM^;^NINGUNO^;9.3999996;10.4;0.0;10.5;1;0.02;^.^;^.^;^.^;^.^;0;^GR001003^;^GUIA DE REMISION 001003^;^.^;59
^.^;^998^;^FA^;^001003^;^1791851617001^;^Jan  1 2020 12:00AM^;^Jan  1 2021 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001003^;^S001003^;^.^;60
^.^;^998^;^FA^;^001003^;^0702164179001^;^Dec 31 2023 12:00AM^;^Dec 31 2024 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^FE001003^;^S001003^;^.^;61
^.^;^998^;^FA^;^001003^;^0702164179001^;^Jan  1 2023 12:00AM^;^Jan  1 2024 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^RE001003^;^R001003^;^.^;62
^.^;^998^;^FA^;^001004^;^1791851617001^;^Apr 20 2018 12:00AM^;^Apr 20 2019 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001004^;^S001004^;^.^;63
^.^;^998^;^FA^;^001004^;^0702164179001^;^Jan  1 2023 12:00AM^;^Jan  1 2024 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^RE001004^;^R001004^;^.^;64
^.^;^998^;^FA^;^001005^;^1791851617001^;^Apr 20 2019 12:00AM^;^Apr 20 2020 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001005^;^S001005^;^.^;65
^.^;^998^;^FA^;^001005^;^.^;^Apr 14 2020 12:00AM^;^Apr 14 2020 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001005^;^S001005^;^.^;66
^.^;^998^;^FA^;^001005^;^1791851617001^;^May  2 2018 12:00AM^;^Jul 10 2018 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001005^;^S001005^;^.^;67
^.^;^998^;^FA^;^001005^;^0702164179001^;^Jan  1 2022 12:00AM^;^Jan  1 2023 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001003^;^S001003^;^.^;68
^.^;^998^;^FA^;^001009^;^0702164179001^;^Jan  1 2022 12:00AM^;^Jan  1 2023 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001003^;^S001003^;^.^;69
^.^;^998^;^FA^;^001010^;^0702164179001^;^Jan  1 2022 12:00AM^;^Jan  1 2023 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^FE001003^;^S001003^;^.^;70
^.^;^998^;^FA^;^002001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50858^;^BATA SAN LUIS^;^.^;71
^.^;^998^;^FA^;^002001^;^0590031984001^;^Sep  2 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50858^;^BATA SAN LUIS^;^.^;72
^.^;^998^;^FA^;^005001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50850^;^BATA RECREO^;^.^;73
^.^;^998^;^FA^;^005001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50850^;^BATA RECREO^;^.^;74
^.^;^998^;^FA^;^008001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50853^;^BATA MALL DEL SUR^;^.^;75
^.^;^998^;^FA^;^008001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50853^;^BATA MALL DEL SUR^;^.^;76
^.^;^998^;^FA^;^012001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50851^;^BATA CONDADO^;^.^;77
^.^;^998^;^FA^;^012001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50851^;^BATA CONDADO^;^.^;78
^.^;^998^;^FA^;^014001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50876^;^BATA CUENCA^;^.^;79
^.^;^998^;^FA^;^014001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50876^;^BATA CUENCA^;^.^;80
^.^;^998^;^FA^;^016001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50861^;^BATA CITY MALL^;^.^;81
^.^;^998^;^FA^;^016001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50861^;^BATA CITY MALL^;^.^;82
^.^;^998^;^FA^;^017001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50863^;^BATA RIO CENTRO NORTE^;^.^;83
^.^;^998^;^FA^;^017001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50863^;^BATA RIO CENTRO NORTE^;^.^;84
^.^;^998^;^FA^;^021001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50867^;^BATA EL BOSQUE^;^.^;85
^.^;^998^;^FA^;^021001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50867^;^BATA EL BOSQUE^;^.^;86
^.^;^998^;^FA^;^022001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50868^;^BATA RIOBAMBA^;^.^;87
^.^;^998^;^FA^;^022001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Sep 19 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50868^;^BATA RIOBAMBA^;^.^;88
^.^;^998^;^FA^;^025001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50871^;^BATA AMBATO^;^.^;89
^.^;^998^;^FA^;^025001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50871^;^BATA AMBATO^;^.^;90
^.^;^998^;^FA^;^029001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50877^;^BATA IBARRA^;^.^;91
^.^;^998^;^FA^;^029001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Sep 11 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50877^;^BATA IBARRA^;^.^;92
^.^;^998^;^FA^;^030001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50879^;^BUBBLE GUMMERS RECREO^;^.^;93
^.^;^998^;^FA^;^030001^;^0590031984001^;^Jan  2 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50879^;^BUBBLE GUMMERS RECREO^;^.^;94
^.^;^998^;^FA^;^031001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50880^;^BATA MALL DEL RIO^;^.^;95
^.^;^998^;^FA^;^031001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50880^;^BATA MALL DEL RIO^;^.^;96
^.^;^998^;^FA^;^032001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50881^;^BATA FORTIN^;^.^;97
^.^;^998^;^FA^;^032001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50881^;^BATA FORTIN^;^.^;98
^.^;^998^;^FA^;^034001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50883^;^BUBBLE GUMMERS CCI^;^.^;99
^.^;^998^;^FA^;^034001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50883^;^BUBBLE GUMMERS CCI^;^.^;100
^.^;^998^;^FA^;^035001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50884^;^BUBBLE GUMMERS BOSQUE^;^.^;101
^.^;^998^;^FA^;^035001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50884^;^BUBBLE GUMMERS BOSQUE^;^.^;102
^.^;^998^;^FA^;^036001^;^0590031984001^;^Jan  1 2020 12:00AM^;^Dec 31 2020 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50885^;^BATA DAULE^;^.^;103
^.^;^998^;^FA^;^036001^;^0590031984001^;^Jul  1 2019 12:00AM^;^Dec 31 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXC50885^;^BATA DAULE^;^.^;104
