Periodo;TC;Codigo_Inv;Producto;Detalle;Codigo_Barra;Unidad;Minimo;Maximo;PVP;IVA;Cta_Inventario;Cta_Costo_Venta;Cta_Ventas;Cta_Ventas_0;Cta_Venta_Anticipada;Cta_Ventas_Ant;INV;Stock_Anterior;Entradas;Salidas;Promedio;Stock_Actual;Valor_Total;Item;PX;PY;Item_Banco;Desc_Item;Valor_Corte;Ayuda;Utilidad;Valor_Compra;Gramaje;Agrupacion;Bodega;TP;Div;Receta;PVP_2;PVP_3;Codigo_IESS;Codigo_RES;Marca;TDP;Fecha;Codigo_P;Codigo_R;Factura;Vida_Util;Valor_Actual;Valor_Deprecicacion;Tipo;Ubicacion;Departamento;Cantidad;Servicio;Por_Reservas;X;Codigo_Sup;Procesado;Valor_Historico;Reg_Sanitario;Estado;PF;Consignacion;T;Codigo_Barra_K;Tipo_SubMod;Stock;Costo;Valor_Unit;Con_Kardex;Categorias;ID
^.^;^I^;^01.05^;^VINOS TINTOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;2677.3900;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;11
^.^;^I^;^01.05.01^;^VINOS TINTOS ARGENTINA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;2596.7100;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;12
^.^;^I^;^01.05.02^;^VINOS TINTOS CHILE^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;37.4000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;13
^.^;^I^;^01.05.03^;^VINOS TINTOS ESPAÑA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;-16.1300;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;14
^.^;^I^;^01.05.04^;^VINOS TINTOS FRANCIA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;15
^.^;^I^;^01.05.05^;^VINOS TINTOS ITALIA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;59.4100;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;16
^.^;^I^;^01.06^;^VINOS DE POSTRE^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;17
^.^;^I^;^01.07^;^BAJATIVOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;18
^.^;^I^;^01.08^;^ESPIRITUOSOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;19
^.^;^I^;^01.99^;^DENOMINACION DE ORIGEN COFRADIA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;33.3700;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;20
^.^;^I^;^01.99.01^;^BEBIDAS SOFT; CERVEZAS E INFUSIONES^;^.^;^.^;^UNIDAD^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;-.0100;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;21
^.^;^I^;^01.99.02^;^COCKTAIL^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;22
^.^;^I^;^01.99.03^;^SABORES CON IDENTIDAD DE ORIGEN^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;23
^.^;^I^;^01.99.04^;^COMBO SABORES CON IDENTIDAD DE ORIGEN^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;33.3800;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;24
^.^;^I^;^03^;^FACTURACION Y LIQUIDACION DE VENTAS PARA DIVISAS ^;^.^;^.^;^.^;0.0;0.0;0.0;1;^0^;^0^;^0^;^0^;^0^;^1.9.10^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;100.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Jan 13 2015 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;25
^.^;^I^;^03.01^;^FACTURAS DE DIVISAS^;^.^;^.^;^.^;0.0;0.0;0.0;1;^0^;^0^;^0^;^0^;^0^;^1.9.10^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;100.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Jan 13 2015 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;26
^.^;^I^;^03.02^;^COMPRAS DE DIVISAS^;^.^;^0000000000^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;100.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Jan 13 2015 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;27
^.^;^I^;^04^;^TEST^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^.^;^.^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Oct 26 2023 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;28
^.^;^I^;^98^;^CUOTAS^;^^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;29
^.^;^I^;^99^;^CUOTAS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;30
^.^;^I^;^JG^;^JUNTA DE AGUA^;^.^;^.^;^.^;0.0;0.0;0.0;1;^0^;^0^;^0^;^0^;^0^;^1.9.10^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;100.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Jan 13 2015 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;31
^.^;^I^;^MS^;^MESAS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^.^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;32
^.^;^P^;^01.01^;^Pensiones^;^.^;^.^;^0.00^;0.0;0.0;0.0;0;^.^;^.^;^1^;^1^;^0^;^1^;0;0.0;0.0;0.0;0.0;0.0;.0000;^000^;0.0;0.0;^000^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Oct  2 2014 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^X^;^01^;0;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;33
^.^;^P^;^01.01^;^Pensiones^;^.^;^.^;^0.00^;0.0;0.0;0.0;0;^.^;^.^;^1^;^1^;^0^;^1^;0;0.0;0.0;0.0;0.0;0.0;.0000;^000^;0.0;0.0;^000^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Oct  2 2014 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^X^;^01^;0;.0000;^.^;0;0;0;^.^;^.^;^N^;0.0;0.0;0.0;0;^.^;34
^.^;^P^;^01.01.01^;^TERRUNO SAUVIGNON BLANC-Valle de Casablanca-Chile^;^Prov: Vinesa^;^.^;^U: 750 ml^;0.0;0.0;79.019999999999996;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;0.0;1.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;0;.0000;^.^;0;0;0;^N^;^.^;^N^;0.0;1.1200000000000001;1.1200000000000001;0;^.^;35
^.^;^P^;^01.01.02^;^OSSIAN VERDEJO-Segovia-España^;^.^;^.^;^U: 750 ml^;0.0;0.0;66.069999999999993;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;0.0;1.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^N^;^.^;^N^;0.0;1.1200000000000001;1.1299999999999999;0;^.^;36
^.^;^P^;^01.01.03^;^VEGA SICILIA UNICO-Ribera del Duero- España^;^Prov: Dibeal^;^.^;^U: 750 ml^;0.0;0.0;616.07000000000005;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;0.0;1.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^N^;^.^;^N^;0.0;0.0;0.0;0;^.^;37
^.^;^P^;^01.01.04^;^VEGA SICILIA VALBUENA 5TO-Ribera del Duero-España^;^Prov: Dibeal^;^.^;^U: 750 ml^;0.0;0.0;263.38999999999999;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;0.0;1.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^N^;^.^;^N^;1.0;0.0;0.0;0;^.^;38
^.^;^P^;^01.01.05^;^DON MELCHOR -Puente Alto; Valle del alto Maipo-Chile^;^Prov: Vinesa^;^.^;^U: 750 ml^;0.0;0.0;176.78999999999999;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;2.0;0.0;1.0;68.0;1.0;68.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;68.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;0;.0000;^.^;0;0;0;^N^;^.^;^N^;0.0;68.0;68.0;0;^.^;39
^.^;^P^;^01.01.06^;^EL GRAN ENEMIGO BLEND-Mendoza Argentina^;^Prov: Vinesa^;^.^;^U: 750 ml^;0.0;0.0;118.75;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;85.0;1.0;85.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;85.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;0;.0000;^.^;0;0;0;^N^;^.^;^N^;-1.0;85.0;85.0;1;^.^;40
^.^;^P^;^01.01.07^;^PROTOS GRAN RESERVA-Ribera del Duero-España^;^Prov: Dibeal^;^.^;^U: 750 ml^;0.0;0.0;117.86;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;1.0;0.0;0.0;0.0;1.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^N^;^.^;^N^;0.0;0.0;0.0;1;^.^;41
^.^;^P^;^01.01.08^;^ARZUAGA RESERVA ESPECIAL-Ribera delñ Duero España^;^Prov: Dibeal^;^.^;^U: 750 ml^;0.0;0.0;117.86;0;^1.2.07.01^;^5.2.72^;^4.1.01.01.01^;^4.1.01.01.01^;^0^;^4.1.01.01.01^;1;0.0;0.0;0.0;90.969999999999999;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;90.9700;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;0;.0000;^.^;0;0;0;^N^;^.^;^N^;-2.0;90.969999999999999;90.969999999999999;1;^.^;42
