Periodo;Item;Grupo_Rol;Cta_Sueldo;Cta_Vacacion;Cta_Quincena;Cta_Horas_Ext;Cta_Ext_Conyugue_P;Cta_Antiguedad;Cta_Diferencia;Cta_IESS_Patronal;Cta_IESS_Personal;Cta_Aporte_Patronal_G;Cta_Decimo_Cuarto_G;Cta_Decimo_Tercer_G;Cta_Fondo_Reserva_G;Cta_Decimo_Cuarto_P;Cta_Decimo_Tercer_P;Cta_Fondo_Reserva_P;Cta_Vacaciones_G;Cta_Vacaciones_P;Cta_Utilidades_G;Cta_Utilidades_P;CodigoU;X;Fecha_Reg;ID
^.^;^998^;^ANALISTA FINANCIERO^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;11
^.^;^998^;^ASISTENTE CONTABLE^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;12
^.^;^998^;^ASISTENTE CONTABLE^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;13
^.^;^998^;^AUXILIAR ADMINISTRATIVO^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;14
^.^;^998^;^AUXILIAR MOSTRADOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;15
^.^;^998^;^COMPRADOR^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;16
^.^;^998^;^COMPRADOR BG^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;17
^.^;^998^;^GERENTE GENERAL^;^6.1.01.01.01.014^;^6.1.01.01.01.014^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.014^;^6.1.01.01.01.014^;^6.1.01.01.01.014^;^6.1.01.01.01.014^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^.^;^.^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;18
^.^;^998^;^JEFE DE COMPRAS^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;19
^.^;^998^;^TRABAJADOR EN GENERAL^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;20
^.^;^998^;^VENDEDOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^.^;^.^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;21
^.^;^998^;^VENDEDOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;22
^.^;^998^;^VENDEDOR JUNIOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^6.1.01.01.01.001^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^.^;^.^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;23
^.^;^998^;^VENDEDOR JUNIOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;24
^.^;^998^;^VENDEDOR JUNIOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;25
^.^;^998^;^VENDEDOR JUNIOR^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;26
^.^;^998^;^VENDEDOR POR MAYOR^;^6.1.01.01.01.029^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.035^;^6.1.01.01.01.039^;^6.1.01.01.01.038^;^6.1.01.01.01.037^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.029^;^2.1.07.02.01.004^;^6.1.01.01.01.029^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;27
^.^;^998^;^VENDEDOR POR MAYOR^;^6.1.01.01.01.041^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.047^;^6.1.01.01.01.051^;^6.1.01.01.01.050^;^6.1.01.01.01.049^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.041^;^2.1.07.02.01.004^;^6.1.01.01.01.041^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;28
^31/12/2008^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;29
^31/12/2008^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^ ^;^5.2.10.05^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;30
^31/12/2008^;^000^;^ENTR^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;31
^31/12/2008^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;32
^31/12/2008^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;33
^31/12/2008^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;34
^31/12/2009^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;35
^31/12/2009^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;36
^31/12/2009^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;37
^31/12/2009^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^ ^;^5.2.10.05^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;38
^31/12/2009^;^000^;^ENTR^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;39
^31/12/2009^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^ ^;^ ^;^2.1.09.06^;^ ^;^ ^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;40
^31/12/2010^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;41
^31/12/2010^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.06^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;42
^31/12/2010^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;43
^31/12/2010^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;44
^31/12/2010^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;45
^31/12/2010^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.06^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;46
^31/12/2010^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;47
^31/12/2010^;^000^;^ADMI^;^5.2.10.01^;^5.2.10.07^;^0^;^5.2.10.05^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;48
^31/12/2010^;^000^;^ENTR^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;49
^31/12/2010^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.06^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;50
^31/12/2010^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.06^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;51
^31/12/2010^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.06^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;52
^31/12/2011^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^5.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;53
^31/12/2011^;^000^;^.^;^0^;^0^;^0^;^0^;^2.1.09.06^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;54
^31/12/2011^;^000^;^ADM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;55
^31/12/2011^;^000^;^ENTR^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;56
^31/12/2011^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;57
^31/12/2011^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;58
