Item;Nivel;TP;Proceso;DC;Cheque;Mi_Cta;Cmds;Cta_Debe;Cta_Haber;X;Picture;Color;ID
^998^;93;^BENEFICI^;^Productores Aliados^;^D^;0;0;^93.04^;^.^;^.^;^.^;^productor^;^Hex_E3F4F4^;121
^998^;97;^EMPAQUE^;^Cajas de Carton^;^.^;0;0;^EM01^;^.^;^.^;^.^;^caja_carton^;^.^;122
^998^;97;^EMPAQUE^;^Gavetas^;^.^;0;0;^EM02^;^.^;^.^;^.^;^gaveta^;^.^;123
^998^;97;^EMPAQUE^;^Costales^;^.^;0;0;^EM03^;^.^;^.^;^.^;^costales^;^.^;124
^998^;97;^EMPAQUE^;^Fundas^;^.^;0;0;^EM04^;^.^;^.^;^.^;^fundas^;^.^;125
^998^;97;^EMPAQUE^;^Otros^;^.^;0;0;^EM99^;^.^;^.^;^.^;^otros_envases^;^.^;126
^998^;97;^EMPAQUE^;^Envases^;^D^;0;0;^EM05^;^.^;^.^;^.^;^envases^;^.^;127
^998^;88;^ENTREGA^;^Regular^;^D^;0;0;^88.01^;^.^;^.^;^.^;^.^;^.^;128
^998^;88;^ENTREGA^;^Esporádica^;^D^;0;0;^88.02^;^.^;^.^;^.^;^.^;^.^;129
^998^;87;^ESTADO^;^Pre - vinculación^;^D^;0;0;^87.01^;^.^;^.^;^.^;^previnculacion^;^.^;130
^998^;87;^ESTADO^;^Activa^;^D^;0;0;^87.02^;^.^;^.^;^.^;^activa^;^.^;131
^998^;87;^ESTADO^;^Suspendida^;^D^;0;0;^87.03^;^.^;^.^;^.^;^suspendida^;^.^;132
^998^;87;^ESTADO^;^Desvinculada^;^D^;0;0;^87.04^;^.^;^.^;^.^;^desvinculada^;^.^;133
^998^;96;^ESTTRANS^;^PRODUCTO BIEN EMPACADO Y EN CONTENERORES O GAVETAS^;^.^;0;0;^ET06^;^.^;^.^;^.^;^.^;^.^;134
^998^;96;^ESTTRANS^;^TRANSPORTE LIMPIO^;^C^;0;0;^ET01^;^.^;^.^;^.^;^.^;^.^;135
^998^;96;^ESTTRANS^;^TRANSPORTE EN BUEN ESTADO LIBRE DE ABOLLADURAS Y ÓXIDOS^;^.^;0;0;^ET02^;^.^;^.^;^.^;^.^;^.^;136
^998^;96;^ESTTRANS^;^TRANSPORTE LIBRE DE PLAGAS^;^.^;0;0;^ET03^;^.^;^.^;^.^;^.^;^.^;137
^998^;96;^ESTTRANS^;^PRODUCTO CON TEMPERATURA ADECUADA^;^.^;0;0;^ET04^;^.^;^.^;^.^;^.^;^.^;138
^998^;96;^ESTTRANS^;^PRODUCTO LIBRE DE TOCAR EL PISO^;^.^;0;0;^ET05^;^.^;^.^;^.^;^.^;^.^;139
^998^;86;^FRECUENC^;^Semanal^;^D^;0;0;^86.01^;^.^;^.^;^.^;^.^;^Hex_C5E0B3^;140
^998^;86;^FRECUENC^;^Quincenal^;^D^;0;0;^86.02^;^.^;^.^;^.^;^.^;^Hex_97CBFF^;141
^998^;86;^FRECUENC^;^Mensual^;^D^;0;0;^86.03^;^.^;^.^;^.^;^.^;^Hex_FF7C80^;142
^998^;86;^FRECUENC^;^Ocasional^;^D^;0;0;^86.04^;^.^;^.^;^.^;^.^;^Hex_FFCC00^;143
^998^;94;^MOTIVOS^;^Avería de donante^;^D^;0;0;^94.03^;^.^;^.^;^.^;^.^;^.^;144
^998^;94;^MOTIVOS^;^Avería interna^;^D^;0;0;^94.04^;^.^;^.^;^.^;^.^;^.^;145
^998^;94;^MOTIVOS^;^Voluntarios^;^D^;0;0;^94.09^;^.^;^.^;^.^;^.^;^.^;146
^998^;94;^MOTIVOS^;^Aseo y limpieza^;^D^;0;0;^94.02^;^.^;^.^;^.^;^.^;^.^;147
^998^;94;^MOTIVOS^;^Consumo interno^;^D^;0;0;^94.05^;^.^;^.^;^.^;^.^;^.^;148
^998^;94;^MOTIVOS^;^Producción^;^D^;0;0;^94.06^;^.^;^.^;^.^;^.^;^.^;149
^998^;94;^MOTIVOS^;^Refrigerios^;^D^;0;0;^94.08^;^.^;^.^;^.^;^.^;^.^;150
^998^;94;^MOTIVOS^;^Proyectos 
internos^;^D^;0;0;^94.07^;^.^;^.^;^.^;^.^;^.^;151
^998^;94;^MOTIVOS^;^Almacenamiento^;^D^;0;0;^94.01^;^.^;^.^;^.^;^.^;^.^;152
^998^;91;^POBLACIO^;^Niños 3 a 5 años^;^D^;0;0;^91.02^;^.^;^.^;^.^;^.^;^.^;153
^998^;91;^POBLACIO^;^Niños 6 a 12 años^;^D^;0;0;^91.03^;^.^;^.^;^.^;^.^;^.^;154
^998^;91;^POBLACIO^;^Adolescentes 13 a 18 años^;^D^;0;0;^91.04^;^.^;^.^;^.^;^.^;^.^;155
^998^;91;^POBLACIO^;^Jóvenes 19 a 24 años^;^D^;0;0;^91.05^;^.^;^.^;^.^;^.^;^.^;156
^998^;91;^POBLACIO^;^Adultos 25 a 60 años^;^D^;0;0;^91.06^;^.^;^.^;^.^;^.^;^.^;157
^998^;91;^POBLACIO^;^Adulto Mayor más de 60 
años^;^D^;0;0;^91.07^;^.^;^.^;^.^;^.^;^.^;158
^998^;91;^POBLACIO^;^Infantes 0 a 2 años^;^D^;0;0;^91.01^;^.^;^.^;^.^;^.^;^.^;159
^998^;98;^TIPOPROV^;^Otros^;^.^;0;0;^TP99^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;160
^998^;98;^TIPOPROV^;^Mercado^;^.^;0;0;^TP01^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;161
^998^;98;^TIPOPROV^;^Fabricante de Alimentos^;^.^;0;0;^TP02^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;162
^998^;98;^TIPOPROV^;^Distribuidor Mayorista^;^.^;0;0;^TP03^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;163
^998^;98;^TIPOPROV^;^Minorista o Tendero^;^.^;0;0;^TP04^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;164
^998^;98;^TIPOPROV^;^Servicio de Comida^;^.^;0;0;^TP05^;^1.1.04.01.12^;^2.1.03.01.03^;^.^;^.^;^.^;165
^998^;90;^VULNERAB^;^Discapacidades^;^D^;0;0;^90.01^;^.^;^.^;^.^;^.^;^.^;166
^998^;90;^VULNERAB^;^Violencia Intrafamiliar^;^D^;0;0;^90.02^;^.^;^.^;^.^;^.^;^.^;167
^998^;90;^VULNERAB^;^Violencia de Genero^;^D^;0;0;^90.03^;^.^;^.^;^.^;^.^;^.^;168
^998^;90;^VULNERAB^;^Violencia Infantil^;^D^;0;0;^90.04^;^.^;^.^;^.^;^.^;^.^;169
^998^;90;^VULNERAB^;^Riesgo de Calle^;^D^;0;0;^90.05^;^.^;^.^;^.^;^.^;^.^;170
^998^;90;^VULNERAB^;^Mujeres Gestación y Lactancia con 
desnutrición o diabetes gestacional^;^D^;0;0;^90.06^;^.^;^.^;^.^;^.^;^.^;171
^998^;85;^PROGRAMA^;^70 y piquito^;^D^;0;0;^85.02^;^.^;^.^;^.^;^70piquito^;^.^;176

(176 rows affected)
