Item;Curso;Descripcion;Periodo;Paralelo;Bachiller;Especialidad;Figura_Profesional;Curso_Superior;Ciclo;Seccion;Titulo;Tipo_Titulo;Codigo_Titulo;X;Id_Curso;ID
^000^;^1.06.BA^;^SEXTO GRADO DE EGB "A"^;^.^;^"A"^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;17
^000^;^1.07.BC^;^S…PTIMO GRADO DE EGB "C"^;^.^;^"C"^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;18
^000^;^2.08.BB^;^OCTAVO A—O DE EDUCACI”N B¡SICA "B"^;^.^;^"B"^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;19
^000^;^2^;^SECUNDARIO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;20
^000^;^2.09^;^NOVENO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;21
^000^;^3^;^BACHILLERATO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;22
^000^;^3.02^;^SEGUNDO BACHILLERATO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;23
^000^;^3.03.BC^;^TERCERO B.G.U. OPCI”N T…CNICO "C"^;^.^;^"C"^;^TERCER A—O BACHILLERATO T…CNICO^;^ESPECIALIZACI”N CONTABILIDAD Y^;^.^;^CURSO INMEDIATO SUPERIOR^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^.^;0;24
^000^;^1.01.BB^;^PREPARATORIA "B"^;^.^;^"B"^;^PREPARATORIA^;^.^;^.^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;25
^000^;^1.04.BB^;^CUARTO GRADO DE EGB "B"^;^.^;^"B"^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;26
^000^;^2.09.BB^;^NOVENO A—O DE EDUCACI”N B¡SICA "B"^;^.^;^"B"^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;27
^000^;^2.09.BC^;^NOVENO A—O DE EDUCACI”N B¡SICA "C"^;^.^;^"C"^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;28
^000^;^2.10.BB^;^DECIMO A—O DE EDUCACI”N BASICA "B"^;^.^;^"B"^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;29
^000^;^2.10.BD^;^DECIMO A—O DE EDUCACI”N BASICA "D"^;^.^;^"D"^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;30
^000^;^3.01.BA^;^PRIMERO B.G.U.  "A"^;^.^;^"A"^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;31
^000^;^1.03.BA^;^TERCER GRADO DE EGB "A"^;^.^;^"A"^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;32
^000^;^1.04.BC^;^CUARTO GRADO DE EGB "C"^;^.^;^"C"^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;33
^000^;^1.00.IB^;^INICIAL 2 "B"^;^.^;^"B"^;^INICIAL 2^;^.^;^.^;^PREPARATORIA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;34
^000^;^1.01.BA^;^PREPARATORIA "A"^;^.^;^"A"^;^PREPARATORIA^;^.^;^.^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;35
^000^;^1.02.BB^;^SEGUNDO GRADO DE EGB "B"^;^.^;^"B"^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;36
^000^;^1^;^EDUCACI”N B¡SICA^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;37
^000^;^1.01^;^PRIMERO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;38
^000^;^1.03^;^TERCERO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;39
^000^;^1.05^;^QUINTO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;40
^000^;^1.07^;^S…PTIMO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;41
^000^;^2.08^;^OCTAVO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;42
^000^;^2.10^;^DECIMO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;43
^000^;^3.01^;^PRIMERO BACHILLERATO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;44
^000^;^3.03^;^TERCERO BACHILLERATO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;45
^000^;^1.00^;^INICIAL^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;46
^000^;^1.02^;^SEGUNDO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;47
^000^;^1.04^;^CUARTO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;48
^000^;^1.06^;^SEXTO^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;49
^000^;^1.00.IC^;^INICIAL 2 "C"^;^.^;^"C"^;^INICIAL 2^;^.^;^.^;^PREPARATORIA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;50
^000^;^1.01.BC^;^PREPARATORIA "C"^;^.^;^"C"^;^PREPARATORIA^;^.^;^.^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;51
^000^;^1.00.IA^;^INICIAL 2 "A"^;^.^;^"A"^;^INICIAL 2^;^.^;^.^;^PREPARATORIA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;52
^000^;^1.03.BB^;^TERCER GRADO DE EGB "B"^;^.^;^"B"^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;53
^000^;^2.09.BA^;^NOVENO A—O DE EDUCACI”N B¡SICA "A"^;^.^;^"A"^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;54
^000^;^2.09.BD^;^NOVENO A—O DE EDUCACI”N B¡SICA "D"^;^.^;^"D"^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;55
^000^;^2.10.BA^;^DECIMO A—O DE EDUCACI”N BASICA "A"^;^.^;^"A"^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;56
^000^;^2.10.BC^;^DECIMO A—O DE EDUCACI”N BASICA "C"^;^.^;^"C"^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;57
^000^;^3.01.BD^;^PRIMERO B.G.U.  "D"^;^.^;^"D"^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^.^;0;58
^000^;^3.01.BB^;^PRIMERO B.G.U.  "B"^;^.^;^"B"^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;59
^000^;^3.02.BB^;^SEGUNDO B.G.U. OPCI”N CIENCIAS "B"^;^.^;^"B"^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N CIENCIAS^;^.^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^.^;0;60
^000^;^3.03.BB^;^TERCERO B.G.U. OPCI”N CIENCIAS "B"^;^.^;^"B"^;^TERCER A—O DE BACHILLERATO GENERAL UNIFICADO^;^OPCION; CIENCIAS^;^.^;^CURSO INMEDIATO SUPERIOR^;^CICLO DIVERSIFICADO^;^MATUTINA^;^BACHILLER^;^EN CIENCIAS^;^030803^;^X^;0;61
^000^;^3.02.BC^;^SEGUNDO B.G.U. OPCI”N CIENCIAS "C"^;^.^;^"C"^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N CIENCIAS^;^.^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^.^;0;62
^000^;^1.05.BC^;^QUINTO GRADO DE EGB "C"^;^.^;^"C"^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;63
^000^;^1.03.BC^;^TERCER GRADO DE EGB "C"^;^.^;^"C"^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;64
^000^;^3.03.BA^;^TERCERO B.G.U. OPCI”N CIENCIAS ÔAÔ^;^.^;^ÔAÔ^;^TERCER A—O DE BACHILLERATO GENERAL UNIFICADO^;^OPCION; CIENCIAS^;^.^;^CURSO INMEDIATO SUPERIOR^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^X^;0;65
^000^;^3.01.BC^;^PRIMERO B.G.U.  ÔCÔ^;^.^;^ÔCÔ^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^X^;0;66
^000^;^1.02.BC^;^SEGUNDO GRADO DE EGB ÔCÔ^;^.^;^ÔCÔ^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;67
^000^;^3.02.BD^;^SEGUNDO B.G.U. OPCI”N T…CNICO ÔDÔ^;^.^;^ÔDÔ^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N T…CNICO POLIVALENTE^;^CONTABILIDAD Y ADMINISTRACION^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^BACHILLERATO GENERAL UNIFICADO^;^000000^;^X^;0;68
^000^;^1.05.BA^;^QUINTO GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;69
^000^;^1.05.BB^;^QUINTO GRADO DE EGB ÔBÔ^;^.^;^ÔBÔ^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;70
^000^;^1.06.BB^;^SEXTO GRADO DE EGB ÔBÔ^;^.^;^ÔBÔ^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;71
^000^;^1.06.BC^;^SEXTO GRADO DE EGB ÔCÔ^;^.^;^ÔCÔ^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;72
^000^;^1.07.BA^;^S…PTIMO GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;73
^000^;^1.07.BB^;^S…PTIMO GRADO DE EGB ÔBÔ^;^.^;^ÔBÔ^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;74
^000^;^2.08.BA^;^OCTAVO A—O DE EDUCACI”N B¡SICA ÔAÔ^;^.^;^ÔAÔ^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;75
^000^;^2.08.BC^;^OCTAVO A—O DE EDUCACI”N B¡SICA ÔCÔ^;^.^;^ÔCÔ^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;76
^000^;^2.08.BD^;^OCTAVO A—O DE EDUCACI”N B¡SICA ÔDÔ^;^.^;^ÔDÔ^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;77
^000^;^3.02.BA^;^SEGUNDO B.G.U. OPCI”N CIENCIAS ÔAÔ^;^.^;^ÔAÔ^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N CIENCIAS^;^.^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;78
^000^;^1.02.BA^;^SEGUNDO GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;79
^000^;^1.04.BA^;^CUARTO GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;80
^000^;^1.06.BA^;^SEXTO GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;81
^000^;^1.07.BC^;^S…PTIMO GRADO DE EGB ÔCÔ^;^.^;^ÔCÔ^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;82
^000^;^2.08.BB^;^OCTAVO A—O DE EDUCACI”N B¡SICA ÔBÔ^;^.^;^ÔBÔ^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;83
^000^;^3.03.BC^;^TERCERO B.G.U. OPCI”N T…CNICO ÔCÔ^;^.^;^ÔCÔ^;^TERCER A—O BACHILLERATO T…CNICO^;^ESPECIALIZACI”N CONTABILIDAD Y^;^.^;^CURSO INMEDIATO SUPERIOR^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^X^;0;84
^000^;^1.01.BB^;^PREPARATORIA ÔBÔ^;^.^;^ÔBÔ^;^PREPARATORIA^;^.^;^.^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;85
^000^;^1.04.BB^;^CUARTO GRADO DE EGB ÔBÔ^;^.^;^ÔBÔ^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;86
^000^;^2.09.BB^;^NOVENO A—O DE EDUCACI”N B¡SICA ÔBÔ^;^.^;^ÔBÔ^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;87
^000^;^2.09.BC^;^NOVENO A—O DE EDUCACI”N B¡SICA ÔCÔ^;^.^;^ÔCÔ^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;88
^000^;^2.10.BB^;^DECIMO A—O DE EDUCACI”N BASICA ÔBÔ^;^.^;^ÔBÔ^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;89
^000^;^2.10.BD^;^DECIMO A—O DE EDUCACI”N BASICA ÔDÔ^;^.^;^ÔDÔ^;^D…CIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;90
^000^;^3.01.BA^;^PRIMERO B.G.U.  ÔAÔ^;^.^;^ÔAÔ^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;91
^000^;^1.03.BA^;^TERCER GRADO DE EGB ÔAÔ^;^.^;^ÔAÔ^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;92
