X;Orden;TC;CodMat;CodigoE;Detalle;Seccion;Item;Periodo;C;P;I;ID
^.^;0;^M^;^018^;^3.03.FM^;^Dibujo Técnico ^;^.^;^000^;^31/12/2011^;0;0;0;51
^.^;0;^M^;^046^;^3.03.FM^;^Matemáticas ^;^.^;^000^;^31/12/2011^;0;0;0;52
^.^;0;^M^;^066^;^3.03.CC^;^Productos y Servicios Fiancieros ^;^.^;^000^;^31/12/2011^;0;0;0;53
^.^;0;^M^;^046^;^3.03.CC^;^Matemáticas ^;^.^;^000^;^31/12/2011^;0;0;0;54
^.^;0;^M^;^032^;^3.03.FM^;^Física Laboratorio ^;^.^;^000^;^31/12/2011^;0;0;0;55
^.^;0;^M^;^054^;^3.03.CC^;^Gestión Admin. y Recursos Humanos ^;^.^;^000^;^31/12/2011^;0;0;0;56
^.^;0;^M^;^008^;^3.03.CC^;^Cívica ^;^.^;^000^;^31/12/2011^;0;0;0;57
^.^;0;^M^;^008^;^3.03.BC^;^Educación Cívica ^;^.^;^000^;^31/12/2012^;0;0;0;58
^.^;0;^M^;^066^;^3.03.BD^;^Productos y Servicios Financieros ^;^.^;^000^;^31/12/2012^;0;0;0;59
^.^;0;^M^;^024^;^3.03.BD^;^Estadística ^;^.^;^000^;^31/12/2012^;0;0;0;60
^.^;0;^M^;^046^;^3.03.BD^;^Matemáticas ^;^.^;^000^;^31/12/2012^;0;0;0;61
^.^;0;^M^;^006^;^3.03.BD^;^Ciencias Sociales ^;^.^;^000^;^31/12/2012^;0;0;0;62
^.^;0;^M^;^046^;^3.03.BA^;^Matemáticas ^;^.^;^000^;^31/12/2012^;0;0;0;63
^.^;0;^M^;^032^;^3.03.BA^;^Física y Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;64
^.^;0;^M^;^018^;^3.03.BA^;^Dibujo Técnico ^;^.^;^000^;^31/12/2012^;0;0;0;65
^.^;0;^M^;^008^;^3.03.BA^;^Educación Cívica ^;^.^;^000^;^31/12/2012^;0;0;0;66
^.^;0;^M^;^002^;^3.03.BB^;^Anatomía; Fisiología e Higiene ^;^.^;^000^;^31/12/2012^;0;0;0;67
^.^;0;^M^;^003^;^3.03.BB^;^Biología y Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;68
^.^;0;^M^;^008^;^3.03.BB^;^Educación Cívica ^;^.^;^000^;^31/12/2012^;0;0;0;69
^.^;0;^M^;^050^;^3.03.BB^;^Química y Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;70
^.^;0;^M^;^035^;^3.03.FM^;^Historia y Geografía ^;^.^;^000^;^31/12/2012^;0;0;0;71
^.^;0;^M^;^018^;^3.03.FM^;^Dibujo Técnico ^;^.^;^000^;^31/12/2012^;0;0;0;72
^.^;0;^M^;^046^;^3.03.FM^;^Matemáticas ^;^.^;^000^;^31/12/2012^;0;0;0;73
^.^;0;^M^;^066^;^3.03.CC^;^Productos y Servicios Fiancieros ^;^.^;^000^;^31/12/2012^;0;0;0;74
^.^;0;^M^;^046^;^3.03.CC^;^Matemáticas ^;^.^;^000^;^31/12/2012^;0;0;0;75
^.^;0;^M^;^032^;^3.03.FM^;^Física Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;76
^.^;0;^M^;^054^;^3.03.CC^;^Gestión Admin. y Recursos Humanos ^;^.^;^000^;^31/12/2012^;0;0;0;77
^.^;0;^M^;^008^;^3.03.CC^;^Cívica ^;^.^;^000^;^31/12/2012^;0;0;0;78
^.^;0;^M^;^050^;^3.03.BC^;^Química y Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;79
^.^;0;^M^;^003^;^3.03.BC^;^Biología y Laboratorio ^;^.^;^000^;^31/12/2012^;0;0;0;80
^.^;0;^M^;^002^;^3.03.BC^;^Anatomía; Fisiología e Higiene ^;^.^;^000^;^31/12/2012^;0;0;0;81
