Item;TP;Campo;Encabezado;Pos_X;Pos_Y;Tamaño;X;ID
^000^;^05^;1;^Cheque No^;0.0;0.0;0.0;^.^;43
^000^;^05^;2;^Paguese a:^;2.0;1.5;0.0;^.^;44
^000^;^05^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;45
^000^;^05^;4;^La Suma de:^;2.0;2.3999999999999999;0.0;^.^;46
^000^;^05^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;47
^000^;^05^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;48
^000^;^05^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;49
^000^;^05^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;50
^000^;^05^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;51
^000^;^06^;9;^La Suma de (En Numero)^;0.0;0.0;0.0;^.^;52
^000^;^06^;1;^Cheque No^;0.0;0.0;0.0;^.^;53
^000^;^06^;2;^Paguese a:^;7.0999999999999996;5.0;0.0;^.^;54
^000^;^06^;3;^La Cantidad de:^;17.300000000000001;5.0;0.0;^.^;55
^000^;^06^;4;^La Suma de:^;7.2999999999999998;5.75;0.0;^.^;56
^000^;^06^;5;^Ancho letras Cheque^;17.800000000000001;17.800000000000001;0.0;^.^;57
^000^;^06^;6;^Fecha del Cheque^;5.7999999999999998;6.9000000000000004;0.0;^.^;58
^000^;^06^;7;^Sin Saltos de Pagina^;6.0;4.4000000000000004;0.0;^.^;59
^000^;^06^;8;^Alto del Cheque^;0.0;10.9;0.0;^.^;60
^000^;^06^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;61
^000^;^07^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;62
^000^;^07^;1;^Cheque No^;0.0;0.0;0.0;^.^;63
^000^;^07^;2;^Paguese a:^;2.0;1.5;0.0;^.^;64
^000^;^07^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;65
^000^;^07^;4;^La Suma de:^;0.0;0.0;0.0;^.^;66
^000^;^07^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;67
^000^;^07^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;68
^000^;^07^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;69
^000^;^07^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;70
^000^;^07^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;71
^000^;^08^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;72
^000^;^08^;6;^Fecha del Cheque^;5.7000000000000002;6.9000000000000004;0.0;^.^;73
^000^;^08^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;74
^000^;^08^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;75
^000^;^08^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;76
^000^;^08^;9;^La Suma de (En Numero)^;0.0;0.0;0.0;^.^;77
^000^;^08^;1;^Cheque No^;0.0;0.0;0.0;^.^;78
^000^;^08^;2;^Paguese a:^;7.0;5.0999999999999996;0.0;^.^;79
^000^;^08^;3;^La Cantidad de:^;17.199999999999999;5.0999999999999996;0.0;^.^;80
^000^;^08^;4;^La Suma de:^;7.0;5.75;0.0;^.^;81
^000^;^09^;1;^Cheque No^;0.0;0.0;0.0;^.^;82
^000^;^09^;2;^Paguese a:^;2.0;1.5;0.0;^.^;83
^000^;^09^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;84
^000^;^09^;4;^La Suma de:^;0.0;0.0;0.0;^.^;85
^000^;^09^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;86
^000^;^09^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;87
^000^;^09^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;88
^000^;^09^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;89
^000^;^09^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;90
^000^;^09^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;91
^000^;^10^;1;^Cheque No^;0.0;0.0;0.0;^.^;92
^000^;^10^;2;^Paguese a:^;2.0;1.5;0.0;^.^;93
^000^;^10^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;94
^000^;^10^;4;^La Suma de:^;0.0;0.0;0.0;^.^;95
^000^;^10^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;96
^000^;^10^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;97
^000^;^10^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;98
^000^;^10^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;99
^000^;^10^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;100
^000^;^10^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;101
^000^;^CB^;1;^Razon Social^;7.5;3.0;0.0;^.^;102
^000^;^CB^;2;^Direccion^;0.0;0.0;0.0;^.^;103
^000^;^CB^;3;^Telefono^;0.0;0.0;0.0;^.^;104
^000^;^CB^;4;^RUC^;0.0;0.0;0.0;^.^;105
^000^;^CB^;5;^Beneficiario^;5.5;5.5999999999999996;0.0;^.^;106
^000^;^CB^;6;^Cedula^;0.0;0.0;0.0;^.^;107
^000^;^CB^;7;^Padres^;3.0;6.2999999999999998;0.0;^.^;108
^000^;^CB^;8;^Cedula_P^;0.0;0.0;0.0;^.^;109
^000^;^CB^;9;^Madre^;0.0;0.0;0.0;^.^;110
^000^;^CB^;10;^Cedula_M^;0.0;0.0;0.0;^.^;111
^000^;^CB^;11;^Ciudad y Fecha de Nacimiento^;6.5;7.0;0.0;^.^;112
^000^;^CB^;12;^Ciudad y Fecha de B_C_M^;5.0;7.7000000000000002;0.0;^.^;113
^000^;^CB^;13;^Padrinos^;3.2000000000000002;8.4000000000000004;0.0;^.^;114
^000^;^CB^;14;^Ministro^;3.2999999999999998;9.1999999999999993;0.0;^.^;115
^000^;^CB^;15;^Nota_Marginal^;3.7999999999999998;9.8000000000000007;0.0;^.^;116
^000^;^CB^;16;^Tomo^;8.6999999999999993;4.0;0.0;^.^;117
^000^;^CB^;17;^Pagina^;12.0;4.0;0.0;^.^;118
^000^;^CB^;18;^Numero Acta^;15.0;4.0;0.0;^.^;119
^000^;^CB^;19;^Fecha de Impresion^;14.5;11.4;0.0;^.^;120
^000^;^CB^;20;^Certificado valido para^;4.7999999999999998;10.5;0.0;^.^;121
^000^;^CC^;1;^Razon Social^;7.0;3.3999999999999999;0.0;^.^;122
^000^;^CC^;2;^Direccion^;0.0;0.0;0.0;^.^;123
^000^;^CC^;3;^Telefono^;0.0;0.0;0.0;^.^;124
^000^;^CC^;4;^RUC^;0.0;0.0;0.0;^.^;125
^000^;^CC^;5;^Beneficiario^;3.6000000000000001;7.0;0.0;^.^;126
^000^;^CC^;6;^Cedula^;0.0;0.0;0.0;^.^;127
^000^;^CC^;7;^Padre^;3.0;7.7000000000000002;0.0;^.^;128
^000^;^CC^;8;^Cedula_P^;0.0;0.0;0.0;^.^;129
^000^;^CC^;9;^Madre^;3.0;8.4000000000000004;0.0;^.^;130
^000^;^CC^;10;^Cedula_M^;0.0;0.0;0.0;^.^;131
^000^;^CC^;11;^Ciudad y Fecha de Nacimiento^;0.0;0.0;0.0;^.^;132
^000^;^CC^;12;^Ciudad y Fecha de B_C_M^;7.0;10.5;0.0;^.^;133
^000^;^CC^;13;^Padrinos^;3.7000000000000002;9.1999999999999993;0.0;^.^;134
^000^;^CC^;14;^Ministro^;3.5;9.8000000000000007;0.0;^.^;135
^000^;^CC^;15;^Nota_Marginal^;0.0;0.0;0.0;^.^;136
^000^;^CC^;16;^Tomo^;8.8000000000000007;5.7000000000000002;0.0;^.^;137
^000^;^CC^;17;^Pagina^;11.1;5.7000000000000002;0.0;^.^;138
^000^;^CC^;18;^Numero Acta^;13.1;5.7000000000000002;0.0;^.^;139
^000^;^CC^;19;^Fecha de Impresion^;4.0;4.7999999999999998;0.0;^.^;140
^000^;^CC^;20;^Certificado valido para^;0.0;0.0;0.0;^.^;141
^000^;^CD^;1;^Diario No^;16.800000000000001;0.29999999999999999;0.0;^.^;142
^000^;^CD^;2;^Fecha de Diario^;16.5;1.1000000000000001;0.0;^.^;143
^000^;^CD^;3;^Por Concepto de^;3.0;2.6000000000000001;0.0;^.^;144
^000^;^CD^;4;^CODIGO^;0.5;4.5;0.0;^.^;145
^000^;^CD^;5;^CONCEPTO^;3.5;4.5;0.0;^.^;146
^000^;^CD^;6;^PARCIAL_ME^;10.5;4.5;0.0;^.^;147
^000^;^CD^;7;^DEBE^;13.5;4.5;0.0;^.^;148
^000^;^CD^;8;^HABER^;16.5;4.5;0.0;^.^;149
^000^;^CD^;9;^TOTALES^;13.5;10.5;0.0;^.^;150
^000^;^CD^;10;^Usuario^;0.0;0.0;0.0;^.^;151
^000^;^CD^;20;^Imprimir Cheque al Final^;0.0;0.0;0.0;^.^;152
^000^;^CD^;21;^Hora de Impresión^;0.0;0.0;0.0;^.^;153
^000^;^CE^;1;^Egreso No^;16.800000000000001;0.29999999999999999;0.0;^.^;154
^000^;^CE^;2;^Fecha de Egreso^;16.5;1.1000000000000001;0.0;^.^;155
^000^;^CE^;3;^Pagado a^;3.0;2.5499999999999998;0.0;^.^;156
^000^;^CE^;4;^R.U.C. o C.I^;15.5;2.5499999999999998;0.0;^.^;157
^000^;^CE^;5;^Por Concepto de^;3.0;5.0999999999999996;0.0;^.^;158
^000^;^CE^;6;^Cantidad en Numero^;16.0;1.8;0.0;^.^;159
^000^;^CE^;7;^Cantidad en Letras^;3.5;3.1000000000000001;0.0;^.^;160
^000^;^CE^;8;^Efectivo S/^;3.1000000000000001;4.5;0.0;^.^;161
^000^;^CE^;9;^Cheques S/^;3.1000000000000001;4.0999999999999996;0.0;^.^;162
^000^;^CE^;10;^Banco^;7.0999999999999996;4.0999999999999996;0.0;^.^;163
^000^;^CE^;11;^Cta./Cte. No^;13.199999999999999;4.0999999999999996;0.0;^.^;164
^000^;^CE^;12;^Cheque No^;17.300000000000001;4.0999999999999996;0.0;^.^;165
^000^;^CE^;13;^CODIGO^;0.5;7.0;0.0;^.^;166
^000^;^CE^;14;^CONCEPTO^;3.5;7.0;0.0;^.^;167
^000^;^CE^;15;^PARCIAL_ME^;10.5;7.0;0.0;^.^;168
^000^;^CE^;16;^DEBE^;13.5;7.0;0.0;^.^;169
^000^;^CE^;17;^HABER^;16.5;7.0;0.0;^.^;170
^000^;^CE^;18;^TOTALES^;13.5;10.5;0.0;^.^;171
^000^;^CE^;19;^Usuario^;0.0;0.0;0.0;^.^;172
^000^;^CE^;20;^Imprimir Cheque al Final^;0.0;0.0;0.0;^.^;173
^000^;^CE^;21;^Hora de Impresión^;0.0;0.0;0.0;^.^;174
^000^;^CI^;1;^Ingreso No^;16.800000000000001;0.29999999999999999;0.0;^.^;175
^000^;^CI^;2;^Fecha de Ingreso^;16.5;1.1000000000000001;0.0;^.^;176
^000^;^CI^;3;^Recibido de^;3.0;2.5499999999999998;0.0;^.^;177
^000^;^CI^;4;^R.U.C. o C.I^;15.5;2.5499999999999998;0.0;^.^;178
^000^;^CI^;5;^Por Concepto de^;3.0;5.0999999999999996;0.0;^.^;179
^000^;^CI^;7;^Cantidad en Letras^;3.5;3.1000000000000001;0.0;^.^;180
^000^;^CI^;8;^Efectivo S/^;3.1000000000000001;4.5;0.0;^.^;181
^000^;^CI^;9;^Cheques S/^;3.1000000000000001;4.0999999999999996;0.0;^.^;182
^000^;^CI^;10;^Banco^;7.0999999999999996;4.0999999999999996;0.0;^.^;183
^000^;^CI^;11;^Cta./Cte. No^;13.199999999999999;4.0999999999999996;0.0;^.^;184
^000^;^CI^;12;^Cheque No^;17.300000000000001;4.0999999999999996;0.0;^.^;185
^000^;^CI^;13;^CODIGO^;0.5;7.0;0.0;^.^;186
^000^;^CI^;14;^CONCEPTO^;3.5;7.0;0.0;^.^;187
^000^;^CI^;15;^PARCIAL_ME^;10.5;7.0;0.0;^.^;188
^000^;^CI^;16;^DEBE^;13.5;7.0;0.0;^.^;189
^000^;^CI^;17;^HABER^;16.5;7.0;0.0;^.^;190
^000^;^CI^;18;^TOTALES^;13.5;10.5;0.0;^.^;191
^000^;^CI^;19;^Usuario^;0.0;0.0;0.0;^.^;192
^000^;^CI^;6;^Cantidad en Número^;16.0;1.8999999999999999;0.0;^.^;193
^000^;^CI^;21;^Hora de Impresión^;0.0;0.0;0.0;^.^;194
^000^;^CM^;1;^Razon Social^;8.0;3.0;0.0;^.^;195
^000^;^CM^;2;^Direccion^;0.0;0.0;0.0;^.^;196
^000^;^CM^;3;^Telefono^;0.0;0.0;0.0;^.^;197
^000^;^CM^;4;^RUC^;0.0;0.0;0.0;^.^;198
^000^;^CM^;5;^Beneficiario^;2.2999999999999998;6.2000000000000002;0.0;^.^;199
^000^;^CM^;6;^Cedula^;0.0;0.0;0.0;^.^;200
^000^;^CM^;7;^Padres^;0.0;0.0;0.0;^.^;201
^000^;^CM^;8;^Cedula_P^;0.0;0.0;0.0;^.^;202
^000^;^CM^;9;^Madre^;2.2999999999999998;7.2000000000000002;0.0;^.^;203
^000^;^CM^;10;^Cedula_M^;0.0;0.0;0.0;^.^;204
^000^;^CM^;11;^Ciudad y Fecha de Nacimiento^;0.0;0.0;0.0;^.^;205
^000^;^CM^;12;^Ciudad y Fecha de B_C_M^;7.0;8.0999999999999996;0.0;^.^;206
^000^;^CM^;13;^Padrinos^;6.2000000000000002;9.0;0.0;^.^;207
^000^;^CM^;14;^Ministro^;3.7000000000000002;10.0;0.0;^.^;208
^000^;^CM^;15;^Nota_Marginal^;0.0;0.0;0.0;^.^;209
^000^;^CM^;16;^Tomo^;8.8000000000000007;4.0;0.0;^.^;210
^000^;^CM^;17;^Pagina^;12.1;4.0;0.0;^.^;211
^000^;^CM^;18;^Numero Acta^;15.5;4.0;0.0;^.^;212
^000^;^CM^;19;^Fecha de Impresion^;14.5;11.6;0.0;^.^;213
^000^;^CM^;20;^Certificado valido para^;0.0;0.0;0.0;^.^;214
^000^;^CR^;3;^Valor Retenido a:^;4.2999999999999998;4.0;0.0;^.^;215
^000^;^CR^;5;^Ciudad Retenido^;0.0;0.0;0.0;^.^;216
^000^;^CR^;6;^Telefono Retenido^;0.0;0.0;0.0;^.^;217
^000^;^CR^;7;^Tipo de Comprobante^;14.5;4.7999999999999998;0.0;^.^;218
^000^;^CR^;8;^Factura No. del Retenido^;14.5;5.5;0.0;^.^;219
^000^;^CR^;9;^R.U.C. o C.I^;4.0;4.7999999999999998;0.0;^.^;220
^000^;^CR^;10;^Ejercicio Fiscal^;3.5;8.5;0.0;^.^;221
^000^;^CR^;11;^Concepto de Contabilidad^;0.0;0.0;0.0;^.^;222
^000^;^CR^;12;^Ancho del Concep. Cont^;5.5999999999999996;0.0;0.0;^.^;223
^000^;^CR^;13;^DETALLE DE LA RETENCION^;3.5;8.5;0.0;^.^;224
^000^;^CR^;14;^Tipo de R.F^;8.4000000000000004;8.5;0.0;^.^;225
^000^;^CR^;15;^Tipo de Ret. I.V.A^;8.4000000000000004;8.5;0.0;^.^;226
^000^;^CR^;16;^Codigo Retencion^;10.0;8.5;0.0;^.^;227
^000^;^CR^;17;^Concepto Codigo de Reten^;0.0;8.5;0.0;^.^;228
^000^;^CR^;18;^Referencia^;0.0;8.5;0.0;^.^;229
^000^;^CR^;19;^Base Imponible^;5.0;8.5;0.0;^.^;230
^000^;^CR^;20;^Porcentaje^;12.0;8.5;0.0;^.^;231
^000^;^CR^;21;^Valor Retenido^;14.0;8.5;0.0;^.^;232
^000^;^CR^;22;^TOTAL RETENIDO^;14.0;16.100000000000001;0.0;^.^;233
^000^;^CR^;23;^Sin Saltos de Pagina^;3.5;1.0;0.0;^.^;234
^000^;^CR^;28;^Posicion Xo y Yo Retencio^;0.0;0.0;0.0;^.^;235
^000^;^CR^;30;^Fecha Mes^;0.0;0.0;0.0;^.^;236
^000^;^CR^;32;^Total en Letras^;0.0;0.0;0.0;^.^;237
^000^;^CR^;33;^Autorizacion Comprobante^;0.0;0.0;0.0;^.^;238
^000^;^CR^;34;^Fecha Caducidad^;0.0;0.0;0.0;^.^;239
^000^;^CR^;35;^Ciudad Fecha Retencion^;0.0;0.0;0.0;^.^;240
^000^;^CR^;1;^Retención No^;0.0;0.0;0.0;^.^;241
^000^;^CR^;2;^Fecha de Retención^;13.0;4.0;0.0;^.^;242
^000^;^CR^;4;^Dirección^;4.5;5.5;0.0;^.^;243
^000^;^CR^;24;^Medidas Retencion (X1Y1)^;2.6000000000000001;0.0;0.0;^.^;244
^000^;^CR^;25;^Medidas Retencion (X2Y2)^;17.5;21.5;0.0;^.^;245
^000^;^CR^;26;^Imprimir Ret. IVA (P.Y)^;0.0;15.0;0.0;^.^;246
^000^;^CR^;27;^Imprimir Ret. Fuent (P.Y)^;0.0;10.0;0.0;^.^;247
^000^;^CR^;29;^Fecha Día^;0.0;0.0;0.0;^.^;248
^000^;^CR^;31;^Fecha Año^;0.0;0.0;0.0;^.^;249
^000^;^DC^;2;^Fecha de ND o NC^;16.5;1.1000000000000001;0.0;^.^;250
^000^;^DC^;3;^Por Concepto de^;3.0;2.6000000000000001;0.0;^.^;251
^000^;^DC^;4;^CODIGO^;0.5;4.5;0.0;^.^;252
^000^;^DC^;5;^CONCEPTO^;3.5;4.5;0.0;^.^;253
^000^;^DC^;6;^PARCIAL_ME^;10.5;4.5;0.0;^.^;254
^000^;^DC^;7;^DEBE^;13.5;4.5;0.0;^.^;255
^000^;^DC^;8;^HABER^;16.5;4.5;0.0;^.^;256
^000^;^DC^;9;^TOTALES^;13.5;10.5;0.0;^.^;257
^000^;^DC^;10;^Usuario^;0.0;0.0;0.0;^.^;258
^000^;^DC^;20;^Ninguno^;0.0;0.0;0.0;^.^;259
^000^;^DC^;1;^Nota Débito o Crédito No^;16.800000000000001;0.29999999999999999;0.0;^.^;260
^000^;^DC^;21;^Hora de Impresión^;0.0;0.0;0.0;^.^;261
^000^;^FA^;1;^ENCABEZADO DE LA FACTURA^;0.0;0.0;0.0;^.^;262
^000^;^FA^;2;^Factura No^;0.0;0.0;0.0;^.^;263
^000^;^FA^;7;^Fecha: Ciudad dd/MM/aaaa^;0.0;0.0;0.0;^.^;264
^000^;^FA^;8;^Nombre Cliente^;2.5;3.7000000000000002;0.0;^.^;265
^000^;^FA^;12;^Ciudad^;0.0;0.0;0.0;^.^;266
^000^;^FA^;13;^RUC_CI^;11.5;3.7000000000000002;0.0;^.^;267
^000^;^FA^;15;^E_mail^;14.5;4.5;0.0;^.^;268
^000^;^FA^;16;^Observacion^;3.0;0.0;0.0;^.^;269
^000^;^FA^;17;^Nota^;2.0;14.199999999999999;0.0;^.^;270
^000^;^FA^;18;^Digitador de la Factura^;1.0;12.1;0.0;^.^;271
^000^;^FA^;19;^Banco^;0.0;0.0;0.0;^.^;272
^000^;^FA^;20;^Cheque^;0.0;0.0;0.0;^.^;273
^000^;^FA^;21;^Ejecutivo de Ventas^;0.0;0.0;0.0;^.^;274
^000^;^FA^;22;^DETALLE DE LA FACTURA^;0.0;0.0;0.0;^.^;275
^000^;^FA^;23;^Codigo Producto^;0.0;5.7999999999999998;0.0;^.^;276
^000^;^FA^;24;^Cantidad^;1.5;5.7999999999999998;0.0;^.^;277
^000^;^FA^;25;^Descripcion del Producto^;2.5;5.7999999999999998;0.0;^.^;278
^000^;^FA^;26;^Ancho Descripcion^;6.0;0.0;0.0;^.^;279
^000^;^FA^;27;^Descuento x Producto^;0.0;0.0;0.0;^.^;280
^000^;^FA^;28;^Valor P.V.P^;9.0;5.7999999999999998;0.0;^.^;281
^000^;^FA^;30;^Codigo de Barra^;0.0;0.0;0.0;^.^;282
^000^;^FA^;31;^Marca^;0.0;0.0;0.0;^.^;283
^000^;^FA^;32;^Unidad de medida^;0.0;0.0;0.0;^.^;284
^000^;^FA^;33;^Ruta^;0.0;0.0;0.0;^.^;285
^000^;^FA^;34;^Logotipo de la Factura^;0.0;0.0;0.0;^.^;286
^000^;^FA^;35;^PIE DE LA FACTURA^;0.0;0.0;0.0;^.^;287
^000^;^FA^;36;^SubTotal^;11.5;10.199999999999999;0.0;^.^;288
^000^;^FA^;37;^Total Sin I.V.A^;0.0;0.0;0.0;^.^;289
^000^;^FA^;38;^Total Con I.V.A^;0.0;0.0;0.0;^.^;290
^000^;^FA^;39;^Porcentaje Con I.V.A. 12%^;0.0;0.0;0.0;^.^;291
^000^;^FA^;40;^Valor I.V.A^;11.5;11.6;0.0;^.^;292
^000^;^FA^;41;^Porcentaje I.V.A. 12%^;10.0;11.6;0.0;^.^;293
^000^;^FA^;42;^Total Descuento^;0.0;0.0;0.0;^.^;294
^000^;^FA^;43;^Palabra Descuento^;0.0;0.0;0.0;^.^;295
^000^;^FA^;44;^Total Facturado^;0.0;0.0;0.0;^.^;296
^000^;^FA^;45;^Total en Letras^;0.0;0.0;0.0;^.^;297
^000^;^FA^;46;^Saldo Pendiente^;0.0;0.0;0.0;^.^;298
^000^;^FA^;47;^Autorizacion de Factura^;0.0;0.0;0.0;^.^;299
^000^;^FA^;48;^Total Comision^;0.0;0.0;0.0;^.^;300
^000^;^FA^;49;^Total Servicio^;0.0;0.0;0.0;^.^;301
^000^;^FA^;50;^CxC Clientes^;0.0;0.0;0.0;^.^;302
^000^;^FA^;51;^DAU^;1.0;1.0;0.0;^.^;303
^000^;^FA^;52;^FUE^;1.0;1.0;0.0;^.^;304
^000^;^FA^;53;^Declaracion Aduanera^;1.0;1.0;0.0;^.^;305
^000^;^FA^;54;^Guia de Remision^;1.0;1.0;0.0;^.^;306
^000^;^FA^;55;^Factura Comercial Aduaner^;1.0;1.0;0.0;^.^;307
^000^;^FA^;56;^Carta Porte^;1.0;1.0;0.0;^.^;308
^000^;^FA^;57;^Cantidad Aduanera^;0.0;0.0;0.0;^.^;309
^000^;^FA^;58;^Kilos Bruto^;0.0;0.0;0.0;^.^;310
^000^;^FA^;59;^Palabra: Saldo Pendiente^;11.6;9.5999999999999996;0.0;^.^;311
^000^;^FA^;60;^Fecha Emision Dia^;1.0;9.5999999999999996;0.0;^.^;312
^000^;^FA^;61;^Fecha Emision Mes^;3.0;9.5999999999999996;0.0;^.^;313
^000^;^FA^;63;^Hora de Proceso^;1.0;1.0;0.0;^.^;314
^000^;^FA^;64;^Representante^;1.0;1.0;0.0;^.^;315
^000^;^FA^;65;^Cedula del Representante^;1.0;1.0;0.0;^.^;316
^000^;^FA^;66;^SubTotal - Descuento^;0.0;0.0;0.0;^.^;317
^000^;^FA^;67;^Fecha de Inscripcion RUC^;0.0;0.0;0.0;^.^;318
^000^;^FA^;68;^Orden de Trabajo No^;0.0;0.0;0.0;^.^;319
^000^;^FA^;70;^Fecha_IN^;10.0;0.0;0.0;^.^;320
^000^;^FA^;71;^Fecha_OUT^;11.0;0.0;0.0;^.^;321
^000^;^FA^;72;^Cant_Hab^;12.0;0.0;0.0;^.^;322
^000^;^FA^;73;^Tipo_Hab^;13.0;0.0;0.0;^.^;323
^000^;^FA^;75;^Tipo de Abono^;0.0;0.0;0.0;^.^;324
^000^;^FA^;76;^Palabra: Tipo Abono^;0.0;0.0;0.0;^.^;325
^000^;^FA^;77;^Visto en Tipo Abono^;0.0;0.0;0.0;^.^;326
^000^;^FA^;78;^Valor Tipo Abono^;0.0;0.0;0.0;^.^;327
^000^;^FA^;79;^Fecha Tipo Abono^;0.0;0.0;0.0;^.^;328
^000^;^FA^;3;^Fecha Emision: dd/ENE/Año^;2.5;3.1000000000000001;0.0;^.^;329
^000^;^FA^;4;^Fecha Emision: dd ENE Año^;0.0;0.0;0.0;^.^;330
^000^;^FA^;5;^Fecha Vencimi: dd/ENE/Año^;0.0;0.0;0.0;^.^;331
^000^;^FA^;6;^Fecha Vencimi: dd ENE Año^;0.0;0.0;0.0;^.^;332
^000^;^FA^;9;^Código del Cliente^;0.0;0.0;0.0;^.^;333
^000^;^FA^;10;^Código Grupo^;2.5;4.2999999999999998;0.0;^.^;334
^000^;^FA^;11;^Dirección del Cliente^;2.5;4.2999999999999998;0.0;^.^;335
