Año;Desde;Hasta;Basico;Excede;ID
^2011^;35210.0000;52810.0000;3413.0000;20.0;69
^2011^;52810.0000;70420.0000;6933.0000;25.0;70
^2011^;70420.0000;93890.0000;11335.0000;30.0;71
^2011^;93890.0000;10000000.0000;18376.0000;35.0;72
^2012^;.0000;9720.0000;.0000;0.0;73
^2012^;9720.0000;12380.0000;.0000;5.0;74
^2012^;12380.0000;15480.0000;122.0000;10.0;75
^2012^;15480.0000;18580.0000;406.0000;12.0;76
^2012^;18580.0000;37160.0000;747.0000;15.0;77
^2012^;37160.0000;55730.0000;3301.0000;20.0;78
^2012^;55730.0000;74320.0000;6705.0000;25.0;79
^2012^;74320.0000;99080.0000;10963.0000;30.0;80
^2012^;99080.0000;10000000.0000;17773.0000;35.0;81
^2013^;.0000;10180.0000;.0000;0.0;82
^2013^;10180.0000;12970.0000;.0000;5.0;83
^2013^;12970.0000;16220.0000;140.0000;10.0;84
^2013^;16220.0000;19470.0000;465.0000;12.0;85
^2013^;19470.0000;38930.0000;855.0000;15.0;86
^2013^;38930.0000;58390.0000;3774.0000;20.0;87
^2013^;58390.0000;77870.0000;7666.0000;25.0;88
^2013^;77870.0000;103810.0000;12536.0000;30.0;89
^2013^;103810.0000;10000000.0000;20318.0000;35.0;90
^2014^;.0000;10410.0000;.0000;0.0;91
^2014^;10410.0000;13270.0000;.0000;5.0;92
^2014^;13270.0000;16590.0000;143.0000;10.0;93
^2014^;16590.0000;19920.0000;475.0000;12.0;94
^2014^;19920.0000;39830.0000;875.0000;15.0;95
^2014^;39830.0000;59730.0000;3861.0000;20.0;96
^2014^;59730.0000;79660.0000;7841.0000;25.0;97
^2014^;79660.0000;106200.0000;12824.0000;30.0;98
^2014^;106200.0000;10000000.0000;20786.0000;35.0;99
^2015^;.0000;10800.0000;.0000;0.0;100
^2015^;10800.0000;13770.0000;.0000;5.0;101
^2015^;13770.0000;17210.0000;149.0000;10.0;102
^2015^;17210.0000;20670.0000;493.0000;12.0;103
^2015^;20670.0000;41330.0000;908.0000;15.0;104
^2015^;41330.0000;61980.0000;4007.0000;20.0;105
^2015^;61980.0000;82660.0000;8137.0000;25.0;106
^2015^;82660.0000;110190.0000;13307.0000;30.0;107
^2015^;110190.0000;10000000.0000;21566.0000;35.0;108
^2016^;.0000;11170.0000;.0000;0.0;109
^2016^;11170.0000;14240.0000;.0000;5.0;110
^2016^;14240.0000;17800.0000;153.0000;10.0;111
^2016^;17800.0000;21370.0000;509.0000;12.0;112
^2016^;21370.0000;42740.0000;938.0000;15.0;113
^2016^;42740.0000;64090.0000;4143.0000;20.0;114
^2016^;64090.0000;85470.0000;8413.0000;25.0;115
^2016^;85470.0000;113940.0000;13758.0000;30.0;116
^2016^;113940.0000;10000000.0000;22299.0000;35.0;117
^2017^;.0000;11290.0000;.0000;0.0;118
^2017^;11290.0000;14390.0000;.0000;5.0;119
^2017^;14390.0000;17990.0000;155.0000;10.0;120
^2017^;17990.0000;21600.0000;515.0000;12.0;121
^2017^;21600.0000;43190.0000;948.0000;15.0;122
^2017^;43190.0000;64770.0000;4187.0000;20.0;123
^2017^;64770.0000;86370.0000;8503.0000;25.0;124
^2017^;86370.0000;115140.0000;13904.0000;30.0;125
^2017^;115140.0000;10000000.0000;22534.0000;35.0;126
^2018^;.0000;11270.0000;.0000;0.0;127
^2018^;11270.0000;14360.0000;.0000;5.0;128
^2018^;14360.0000;17950.0000;155.0000;10.0;129
^2018^;17950.0000;21550.0000;514.0000;12.0;130
^2018^;21550.0000;43100.0000;946.0000;15.0;131
^2018^;43100.0000;64630.0000;4178.0000;20.0;132
^2018^;64630.0000;86180.0000;8484.0000;25.0;133
^2018^;86180.0000;114890.0000;13872.0000;30.0;134
^2018^;114890.0000;10000000.0000;22485.0000;35.0;135
^2019^;.0000;11310.0000;.0000;0.0;136
^2019^;11310.0000;14410.0000;.0000;5.0;137
^2019^;14410.0000;18010.0000;155.0000;10.0;138
^2019^;18010.0000;21630.0000;515.0000;12.0;139
^2019^;21630.0000;43250.0000;949.0000;15.0;140
^2019^;43250.0000;64860.0000;4193.0000;20.0;141
^2019^;64860.0000;86480.0000;8513.0000;25.0;142
^2019^;86480.0000;115290.0000;13920.0000;30.0;143
^2019^;115290.0000;10000000.0000;22563.0000;35.0;144
^2020^;.0000;11315.0000;.0000;0.0;145
^2020^;11315.0000;14416.0000;.0000;5.0;146
^2020^;14416.0000;18018.0000;155.0000;10.0;147
^2020^;18018.0000;21639.0000;515.0000;12.0;148
^2020^;21639.0000;43268.0000;950.0000;15.0;149
^2020^;43268.0000;64887.0000;4194.0000;20.0;150
^2020^;64887.0000;86516.0000;8518.0000;25.0;151
^2020^;86516.0000;115338.0000;13925.0000;30.0;152
^2020^;115338.0000;10000000.0000;22572.0000;35.0;153
^2021^;.0000;11212.0000;.0000;0.0;154
^2021^;11212.0000;14285.0000;.0000;5.0;155
^2021^;14285.0000;17854.0000;154.0000;10.0;156
^2021^;17854.0000;21442.0000;511.0000;12.0;157
^2021^;21442.0000;42874.0000;941.0000;15.0;158
^2021^;42874.0000;64297.0000;4156.0000;20.0;159
^2021^;64297.0000;85729.0000;8440.0000;25.0;160
^2021^;85729.0000;114288.0000;13798.0000;30.0;161
^2021^;114288.0000;10000000.0000;22366.0000;35.0;162
^2022^;.0000;11310.0000;.0000;0.0;163
^2022^;11310.0000;14410.0000;.0000;5.0;164
^2022^;14410.0000;18010.0000;155.0000;10.0;165
^2022^;18010.0000;21630.0000;515.0000;12.0;166
^2022^;21630.0000;31630.0000;949.0000;15.0;167
^2022^;31630.0000;41630.0000;2449.0000;20.0;168
^2022^;41630.0000;51630.0000;4449.0000;25.0;169
^2022^;51630.0000;61630.0000;6949.0000;30.0;170
^2022^;61630.0000;100000.0000;9949.0000;35.0;171
^2022^;100000.0000;10000000.0000;23378.0000;37.0;172
^2023^;.0000;11722.0000;.0000;0.0;173
^2023^;11722.0000;14935.0000;.0000;5.0;174
^2023^;14935.0000;18666.0000;161.0000;10.0;175
^2023^;18666.0000;22418.0000;534.0000;12.0;176
^2023^;22418.0000;32783.0000;984.0000;15.0;177
^2023^;32783.0000;43147.0000;2539.0000;20.0;178
^2023^;43147.0000;53512.0000;4612.0000;25.0;179
^2023^;53512.0000;63876.0000;7203.0000;30.0;180
^2023^;63876.0000;103644.0000;10312.0000;35.0;181
^2023^;103644.0000;10000000.0000;24231.0000;37.0;182
^2024^;.0000;11902.0000;.0000;0.0;183
^2024^;11902.0000;15159.0000;.0000;5.0;184
^2024^;15159.0000;19682.0000;163.0000;10.0;185
^2024^;19682.0000;26031.0000;615.0000;12.0;186
^2024^;26031.0000;34255.0000;1377.0000;15.0;187
^2024^;34255.0000;45407.0000;2611.0000;20.0;188
^2024^;45407.0000;60450.0000;4841.0000;25.0;189
^2024^;60450.0000;80605.0000;8602.0000;30.0;190
^2024^;80605.0000;107199.0000;14648.0000;35.0;191
^2024^;107199.0000;10000000.0000;23956.0000;37.0;192
