Item;Concepto;Numero;Periodo;X;ID
^000^;^PorCodigo^;1;^31/12/2010^;^.^;230
^000^;^Prestamos^;1;^31/12/2010^;^.^;231
^000^;^Recibo_Ingreso^;1;^31/12/2010^;^.^;232
^000^;^Certificados^;1;^31/12/2010^;^.^;233
^000^;^Diario Caja^;1;^31/12/2010^;^.^;234
^000^;^Empresas^;1;^31/12/2010^;^.^;235
^000^;^Envio_Benef^;1;^31/12/2010^;^.^;236
^000^;^Envio_Remit^;1;^31/12/2010^;^.^;237
^000^;^Envios^;1;^31/12/2010^;^.^;238
^000^;^Kardex^;1;^31/12/2010^;^.^;239
^000^;^Memos^;1;^31/12/2010^;^.^;240
^000^;^No_FacturasImp^;1;^31/12/2010^;^.^;241
^000^;^Nota Ventas^;1;^31/12/2010^;^.^;242
^000^;^Nota_No^;1;^31/12/2010^;^.^;243
^000^;^Manifiesto^;1;^31/12/2010^;^.^;244
^000^;^Polizas^;1;^31/12/2010^;^.^;245
^000^;^2.1.02.02^;1;^31/12/2011^;^.^;246
^000^;^Envio_Benef^;1;^31/12/2011^;^.^;247
^000^;^Sub Cuenta^;1;^31/12/2011^;^.^;248
^000^;^Nota_No^;1;^31/12/2011^;^.^;249
^000^;^Ingreso Caja^;1;^31/12/2011^;^.^;250
^000^;^No_FacturasImp^;1;^31/12/2011^;^.^;251
^000^;^Nota Ventas^;1;^31/12/2011^;^.^;252
^000^;^Ticket^;1;^31/12/2011^;^.^;253
^000^;^Caja Chica^;1;^31/12/2011^;^.^;254
^000^;^Manifiesto^;1;^31/12/2011^;^.^;255
^000^;^Polizas^;1;^31/12/2011^;^.^;256
^000^;^2.1.03.01^;1;^31/12/2011^;^.^;257
^000^;^2.1.03.02^;1;^31/12/2011^;^.^;258
^000^;^Empresas^;1;^31/12/2011^;^.^;259
^000^;^Envio_Remit^;1;^31/12/2011^;^.^;260
^000^;^Asiento^;1;^31/12/2011^;^.^;261
^000^;^Usuarios^;1;^31/12/2011^;^.^;262
^000^;^Envios^;1;^31/12/2011^;^.^;263
^000^;^Prestamos^;1;^31/12/2011^;^.^;264
^000^;^Kardex^;1;^31/12/2011^;^.^;265
^000^;^Retencion^;1;^31/12/2011^;^.^;266
^000^;^Vendedor^;1;^31/12/2011^;^.^;267
^000^;^OrientacionFact^;1;^31/12/2011^;^.^;268
^000^;^2.1.02.04^;1;^31/12/2011^;^.^;269
^000^;^Articulos^;1;^31/12/2011^;^.^;270
^000^;^Certificados^;1;^31/12/2011^;^.^;271
^000^;^Diario Caja^;1;^31/12/2011^;^.^;272
^000^;^PorCodigo^;1;^31/12/2011^;^.^;273
^000^;^FMG^;1;^31/12/2011^;^.^;274
^000^;^Recibo_Ingreso^;1;^31/12/2011^;^.^;275
^000^;^Sitios^;1;^31/12/2011^;^.^;276
^000^;^Solicitud_No^;1;^31/12/2011^;^.^;277
^000^;^2.1.02.02^;1;^31/12/2012^;^.^;278
^000^;^Asiento^;1;^31/12/2012^;^.^;279
^000^;^Envio_Benef^;1;^31/12/2012^;^.^;280
^000^;^Usuarios^;1;^31/12/2012^;^.^;281
^000^;^Envios^;1;^31/12/2012^;^.^;282
^000^;^Prestamos^;1;^31/12/2012^;^.^;283
^000^;^Kardex^;1;^31/12/2012^;^.^;284
^000^;^Retencion^;1;^31/12/2012^;^.^;285
^000^;^Sub Cuenta^;1;^31/12/2012^;^.^;286
^000^;^Vendedor^;1;^31/12/2012^;^.^;287
^000^;^OrientacionFact^;1;^31/12/2012^;^.^;288
^000^;^2.1.02.04^;1;^31/12/2012^;^.^;289
^000^;^Articulos^;1;^31/12/2012^;^.^;290
^000^;^Certificados^;1;^31/12/2012^;^.^;291
^000^;^Diario Caja^;1;^31/12/2012^;^.^;292
^000^;^PorCodigo^;1;^31/12/2012^;^.^;293
^000^;^FMG^;1;^31/12/2012^;^.^;294
^000^;^Nota_No^;1;^31/12/2012^;^.^;295
^000^;^Recibo_Ingreso^;1;^31/12/2012^;^.^;296
^000^;^Sitios^;1;^31/12/2012^;^.^;297
^000^;^Solicitud_No^;1;^31/12/2012^;^.^;298
^000^;^Ingreso Caja^;1;^31/12/2012^;^.^;299
^000^;^No_FacturasImp^;1;^31/12/2012^;^.^;300
^000^;^Nota Ventas^;1;^31/12/2012^;^.^;301
^000^;^Ticket^;1;^31/12/2012^;^.^;302
^000^;^Caja Chica^;1;^31/12/2012^;^.^;303
^000^;^Manifiesto^;1;^31/12/2012^;^.^;304
^000^;^Polizas^;1;^31/12/2012^;^.^;305
^000^;^2.1.03.01^;1;^31/12/2012^;^.^;306
^000^;^2.1.03.02^;1;^31/12/2012^;^.^;307
^000^;^Empresas^;1;^31/12/2012^;^.^;308
^000^;^Envio_Remit^;1;^31/12/2012^;^.^;309
^000^;^Caja Chica^;1;^31/12/2016^;^X^;310
^000^;^Diario^;2;^.^;^X^;311
^000^;^Memos^;2;^31/12/2011^;^.^;312
^000^;^Memos^;2;^31/12/2012^;^.^;313
^000^;^Recibo_Egreso^;3;^31/12/2008^;^.^;314
^000^;^Recibo_Egreso^;3;^31/12/2009^;^.^;315
^000^;^Recibo_Egreso^;3;^31/12/2010^;^.^;316
^000^;^Recibo_Egreso^;3;^31/12/2011^;^.^;317
^000^;^Recibo_Egreso^;3;^31/12/2012^;^.^;318
^000^;^NotaCredito^;8;^31/12/2010^;^.^;319
^000^;^SubCtas^;12;^31/12/2008^;^.^;320
^000^;^SubCtas^;12;^31/12/2009^;^.^;321
^000^;^SubCtas^;13;^31/12/2010^;^.^;322
^000^;^SubCtas^;13;^31/12/2011^;^.^;323
^000^;^NotaCredito^;14;^31/12/2011^;^.^;324
^000^;^SubCtas^;15;^31/12/2012^;^.^;325
^000^;^NotaCredito^;30;^31/12/2012^;^.^;326
^000^;^NotaDebito^;76;^31/12/2010^;^.^;327
^000^;^NotaDebito^;128;^31/12/2011^;^.^;328
^000^;^NotaDebito^;201;^31/12/2012^;^.^;329
^000^;^Numero Cuenta^;802;^31/12/2008^;^.^;330
^000^;^Numero Cuenta^;824;^31/12/2009^;^.^;331
^000^;^Numero Cuenta^;888;^31/12/2010^;^.^;332
^000^;^Numero Cuenta^;982;^31/12/2011^;^.^;333
^000^;^Numero Cuenta^;997;^31/12/2012^;^.^;334
^000^;^GR_SERIE_001003^;1002;^.^;^.^;335
^000^;^Ingresos^;1453;^31/12/2008^;^.^;336
^000^;^Ingresos^;1520;^31/12/2009^;^.^;337
^000^;^Ingresos^;1772;^31/12/2010^;^.^;338
^000^;^Egresos^;2316;^31/12/2008^;^.^;339
^000^;^Ingresos^;2365;^31/12/2011^;^.^;340
^000^;^Ingresos^;2666;^31/12/2012^;^.^;341
^000^;^Egresos^;2839;^31/12/2009^;^.^;342
^000^;^Diario^;3187;^31/12/2008^;^.^;343
^000^;^Egresos^;3800;^31/12/2010^;^.^;344
^000^;^Diario^;4254;^31/12/2009^;^.^;345
^000^;^Egresos^;4927;^31/12/2011^;^.^;346
^000^;^Egresos^;5567;^31/12/2012^;^.^;347
^000^;^Diario^;5704;^31/12/2010^;^.^;348
^000^;^Diario^;8334;^31/12/2011^;^.^;349
^000^;^Factura_No^;8721;^31/12/2008^;^.^;350
^000^;^FamiFactura^;8721;^31/12/2008^;^.^;351
^000^;^Factura_No^;8721;^31/12/2009^;^.^;352
^000^;^FamiFactura^;8721;^31/12/2009^;^.^;353
^000^;^Factura_No^;8721;^31/12/2010^;^.^;354
^000^;^FamiFactura^;8721;^31/12/2010^;^.^;355
^000^;^Factura_No^;8721;^31/12/2011^;^.^;356
^000^;^FamiFactura^;8721;^31/12/2011^;^.^;357
^000^;^Factura_No^;8721;^31/12/2012^;^.^;358
^000^;^FamiFactura^;8721;^31/12/2012^;^.^;359
^000^;^Recibo_No^;8947;^31/12/2008^;^.^;360
^000^;^Diario^;9626;^31/12/2012^;^.^;361
^000^;^Recibo_No^;14755;^31/12/2009^;^.^;362
^000^;^Recibo_No^;21190;^31/12/2010^;^.^;363
^000^;^Recibo_No^;33025;^31/12/2011^;^.^;364
^000^;^Recibo_No^;39813;^31/12/2012^;^.^;365
^000^;^Facturas^;122215;^31/12/2008^;^.^;366
^000^;^Facturas^;122215;^31/12/2009^;^.^;367
^000^;^Facturas^;122215;^31/12/2010^;^.^;368
^000^;^Facturas^;122215;^31/12/2011^;^.^;369
^000^;^Facturas^;122215;^31/12/2012^;^.^;370
^000^;^Beneficiario^;500026;^31/12/2008^;^.^;371
^000^;^Beneficiarios^;500026;^31/12/2008^;^.^;372
^000^;^Remitente^;500026;^31/12/2008^;^.^;373
^000^;^Beneficiario^;500026;^31/12/2009^;^.^;374
^000^;^Beneficiarios^;500026;^31/12/2009^;^.^;375
^000^;^Remitente^;500026;^31/12/2009^;^.^;376
^000^;^Remitente^;500026;^31/12/2010^;^.^;377
^000^;^Beneficiarios^;500026;^31/12/2010^;^.^;378
^000^;^Beneficiario^;500026;^31/12/2010^;^.^;379
^000^;^Beneficiario^;500026;^31/12/2011^;^.^;380
^000^;^Remitente^;500026;^31/12/2011^;^.^;381
^000^;^Beneficiarios^;500026;^31/12/2011^;^.^;382
^000^;^Beneficiario^;500026;^31/12/2012^;^.^;383
^000^;^Beneficiarios^;500026;^31/12/2012^;^.^;384
^000^;^Remitente^;500026;^31/12/2012^;^.^;385
^000^;^Clientes^;500451;^31/12/2008^;^.^;386
^000^;^Clientes^;500841;^31/12/2009^;^.^;387
^000^;^Clientes^;501422;^31/12/2010^;^.^;388
^000^;^Clientes^;501956;^31/12/2011^;^.^;389
^000^;^Clientes^;501956;^31/12/2012^;^.^;390
^000^;^01Egresos^;1000001;^^;^.^;391
^000^;^01Diario^;1000001;^^;^.^;392
^000^;^01Ingresos^;1000001;^^;^.^;393
^000^;^01NotaDebito^;1000001;^^;^.^;394
^000^;^01NotaCredito^;1000001;^^;^.^;395
^000^;^01Diario^;1000001;^.^;^X^;396
^000^;^01Ingresos^;1000001;^.^;^X^;397
^000^;^01NotaDebito^;1000001;^.^;^X^;398
^000^;^01Egresos^;1000001;^.^;^X^;399
^000^;^01NotaCredito^;1000001;^.^;^X^;400
^000^;^01Diario^;1000001;^31/12/2010^;^.^;401
^000^;^01NotaCredito^;1000007;^31/12/2012^;^.^;402
^000^;^01NotaDebito^;1000018;^31/12/2012^;^.^;403
^000^;^01Egresos^;1000076;^31/12/2012^;^.^;404
^000^;^01Ingresos^;1000084;^31/12/2012^;^.^;405
^000^;^01Diario^;1000205;^31/12/2012^;^.^;406
^000^;^02Diario^;2000001;^^;^.^;407
^000^;^02Egresos^;2000001;^^;^.^;408
^000^;^02Ingresos^;2000001;^^;^.^;409
^000^;^02NotaDebito^;2000001;^^;^.^;410
^000^;^02NotaCredito^;2000001;^^;^.^;411
^000^;^02Egresos^;2000001;^.^;^X^;412
^000^;^02NotaCredito^;2000001;^.^;^X^;413
^000^;^02Diario^;2000001;^.^;^X^;414
^000^;^02Ingresos^;2000001;^.^;^X^;415
^000^;^02NotaDebito^;2000001;^.^;^X^;416
^000^;^02NotaCredito^;2000002;^31/12/2012^;^.^;417
^000^;^02NotaDebito^;2000012;^31/12/2012^;^.^;418
^000^;^02Egresos^;2000069;^31/12/2012^;^.^;419
^000^;^02Ingresos^;2000074;^31/12/2012^;^.^;420
^000^;^02Diario^;2000116;^31/12/2012^;^.^;421
^000^;^03Diario^;3000001;^^;^.^;422
^000^;^03Egresos^;3000001;^^;^.^;423
^000^;^03Ingresos^;3000001;^^;^.^;424
^000^;^03NotaDebito^;3000001;^^;^.^;425
^000^;^03NotaCredito^;3000001;^^;^.^;426
^000^;^03Diario^;3000001;^.^;^X^;427
^000^;^03Ingresos^;3000001;^.^;^X^;428
^000^;^03NotaDebito^;3000001;^.^;^X^;429
^000^;^03Egresos^;3000001;^.^;^X^;430
^000^;^03NotaCredito^;3000001;^.^;^X^;431
^000^;^03Diario^;3000001;^31/12/2011^;^.^;432
^000^;^03NotaCredito^;3000001;^31/12/2012^;^.^;433
^000^;^03NotaDebito^;3000009;^31/12/2012^;^.^;434
^000^;^03Ingresos^;3000025;^31/12/2012^;^.^;435
^000^;^03Egresos^;3000052;^31/12/2012^;^.^;436
^000^;^03Diario^;3000097;^31/12/2012^;^.^;437
^000^;^04Diario^;4000001;^^;^.^;438
^000^;^04Egresos^;4000001;^^;^.^;439
^000^;^04Ingresos^;4000001;^^;^.^;440
^000^;^04NotaDebito^;4000001;^^;^.^;441
^000^;^04NotaCredito^;4000001;^^;^.^;442
^000^;^04Egresos^;4000001;^.^;^X^;443
^000^;^04NotaCredito^;4000001;^.^;^X^;444
^000^;^04Diario^;4000001;^.^;^X^;445
^000^;^04Ingresos^;4000001;^.^;^X^;446
^000^;^04NotaDebito^;4000001;^.^;^X^;447
^000^;^04Diario^;4000001;^31/12/2011^;^.^;448
^000^;^04Ingresos^;4000001;^31/12/2012^;^.^;449
^000^;^04NotaCredito^;4000001;^31/12/2012^;^.^;450
^000^;^04Egresos^;4000002;^31/12/2011^;^.^;451
^000^;^04NotaDebito^;4000003;^31/12/2012^;^.^;452
^000^;^04Egresos^;4000031;^31/12/2012^;^.^;453
^000^;^04Diario^;4000048;^31/12/2012^;^.^;454
^000^;^05Diario^;5000001;^^;^.^;455
^000^;^05Egresos^;5000001;^^;^.^;456
^000^;^05Ingresos^;5000001;^^;^.^;457
^000^;^05NotaDebito^;5000001;^^;^.^;458
^000^;^05NotaCredito^;5000001;^^;^.^;459
^000^;^05Diario^;5000001;^.^;^X^;460
^000^;^05Ingresos^;5000001;^.^;^X^;461
^000^;^05NotaDebito^;5000001;^.^;^X^;462
^000^;^05Egresos^;5000001;^.^;^X^;463
^000^;^05NotaCredito^;5000001;^.^;^X^;464
^000^;^05Egresos^;5000001;^31/12/2012^;^.^;465
^000^;^05Ingresos^;5000001;^31/12/2012^;^.^;466
^000^;^05NotaDebito^;5000001;^31/12/2012^;^.^;467
^000^;^05NotaCredito^;5000001;^31/12/2012^;^.^;468
^000^;^05Diario^;5000002;^31/12/2012^;^.^;469
^000^;^06Diario^;6000001;^^;^.^;470
^000^;^06Egresos^;6000001;^^;^.^;471
^000^;^06Ingresos^;6000001;^^;^.^;472
^000^;^06NotaDebito^;6000001;^^;^.^;473
^000^;^06NotaCredito^;6000001;^^;^.^;474
^000^;^06Egresos^;6000001;^.^;^X^;475
^000^;^06NotaCredito^;6000001;^.^;^X^;476
^000^;^06Diario^;6000001;^.^;^X^;477
^000^;^06Ingresos^;6000001;^.^;^X^;478
^000^;^06NotaDebito^;6000001;^.^;^X^;479
^000^;^06Egresos^;6000001;^31/12/2012^;^.^;480
^000^;^06Ingresos^;6000001;^31/12/2012^;^.^;481
^000^;^06NotaDebito^;6000001;^31/12/2012^;^.^;482
^000^;^06NotaCredito^;6000001;^31/12/2012^;^.^;483
^000^;^06Diario^;6000002;^31/12/2012^;^.^;484
^000^;^07Diario^;7000001;^^;^.^;485
^000^;^07Egresos^;7000001;^^;^.^;486
^000^;^07Ingresos^;7000001;^^;^.^;487
^000^;^07NotaDebito^;7000001;^^;^.^;488
^000^;^07NotaCredito^;7000001;^^;^.^;489
^000^;^07Diario^;7000001;^.^;^X^;490
^000^;^07Ingresos^;7000001;^.^;^X^;491
^000^;^07NotaDebito^;7000001;^.^;^X^;492
^000^;^07Egresos^;7000001;^.^;^X^;493
^000^;^07NotaCredito^;7000001;^.^;^X^;494
^000^;^07Egresos^;7000001;^31/12/2012^;^.^;495
^000^;^07Ingresos^;7000001;^31/12/2012^;^.^;496
^000^;^07NotaDebito^;7000001;^31/12/2012^;^.^;497
^000^;^07NotaCredito^;7000001;^31/12/2012^;^.^;498
^000^;^07Diario^;7000012;^31/12/2012^;^.^;499
^000^;^08Diario^;8000001;^^;^.^;500
^000^;^08Egresos^;8000001;^^;^.^;501
^000^;^08Ingresos^;8000001;^^;^.^;502
^000^;^08NotaDebito^;8000001;^^;^.^;503
^000^;^08NotaCredito^;8000001;^^;^.^;504
^000^;^08Egresos^;8000001;^.^;^X^;505
^000^;^08NotaCredito^;8000001;^.^;^X^;506
^000^;^08Diario^;8000001;^.^;^X^;507
^000^;^08Ingresos^;8000001;^.^;^X^;508
^000^;^08NotaDebito^;8000001;^.^;^X^;509
^000^;^08Egresos^;8000001;^31/12/2011^;^.^;510
^000^;^08Egresos^;8000001;^31/12/2012^;^.^;511
^000^;^08Ingresos^;8000001;^31/12/2012^;^.^;512
^000^;^08NotaDebito^;8000001;^31/12/2012^;^.^;513
^000^;^08NotaCredito^;8000001;^31/12/2012^;^.^;514
^000^;^08Diario^;8000005;^31/12/2012^;^.^;515
^000^;^09Diario^;9000001;^^;^.^;516
^000^;^09Egresos^;9000001;^^;^.^;517
^000^;^09Ingresos^;9000001;^^;^.^;518
^000^;^09NotaDebito^;9000001;^^;^.^;519
^000^;^09NotaCredito^;9000001;^^;^.^;520
^000^;^09Diario^;9000001;^.^;^X^;521
^000^;^09Ingresos^;9000001;^.^;^X^;522
^000^;^09NotaDebito^;9000001;^.^;^X^;523
^000^;^09Egresos^;9000001;^.^;^X^;524
^000^;^09NotaCredito^;9000001;^.^;^X^;525
^000^;^09Egresos^;9000001;^31/12/2012^;^.^;526
^000^;^09Ingresos^;9000001;^31/12/2012^;^.^;527
^000^;^09NotaCredito^;9000001;^31/12/2012^;^.^;528
^000^;^09NotaDebito^;9000004;^31/12/2012^;^.^;529
^000^;^09Diario^;9000015;^31/12/2012^;^.^;530
^000^;^10Diario^;10000001;^^;^.^;531
^000^;^10Egresos^;10000001;^^;^.^;532
^000^;^10Ingresos^;10000001;^^;^.^;533
^000^;^10NotaDebito^;10000001;^^;^.^;534
^000^;^10NotaCredito^;10000001;^^;^.^;535
^000^;^10Egresos^;10000001;^.^;^X^;536
^000^;^10NotaCredito^;10000001;^.^;^X^;537
^000^;^10Diario^;10000001;^.^;^X^;538
^000^;^10Ingresos^;10000001;^.^;^X^;539
^000^;^10NotaDebito^;10000001;^.^;^X^;540
^000^;^10Ingresos^;10000001;^31/12/2012^;^.^;541
^000^;^10NotaCredito^;10000001;^31/12/2012^;^.^;542
^000^;^10Egresos^;10000006;^31/12/2012^;^.^;543
^000^;^10NotaDebito^;10000011;^31/12/2012^;^.^;544
^000^;^10Diario^;10000065;^31/12/2012^;^.^;545
^000^;^11Diario^;11000001;^^;^.^;546
^000^;^11NotaCredito^;11000001;^^;^.^;547
^000^;^11Egresos^;11000001;^^;^.^;548
^000^;^11Ingresos^;11000001;^^;^.^;549
^000^;^11NotaDebito^;11000001;^^;^.^;550
^000^;^11Diario^;11000001;^.^;^X^;551
^000^;^11Ingresos^;11000001;^.^;^X^;552
^000^;^11NotaDebito^;11000001;^.^;^X^;553
^000^;^11Egresos^;11000001;^.^;^X^;554
^000^;^11NotaCredito^;11000001;^.^;^X^;555
^000^;^11Diario^;11000001;^31/12/2011^;^.^;556
^000^;^11NotaCredito^;11000004;^31/12/2012^;^.^;557
^000^;^11NotaDebito^;11000012;^31/12/2012^;^.^;558
^000^;^11Ingresos^;11000029;^31/12/2012^;^.^;559
^000^;^11Egresos^;11000076;^31/12/2012^;^.^;560
^000^;^11Diario^;11000223;^31/12/2012^;^.^;561
^000^;^12Diario^;12000001;^^;^.^;562
^000^;^12NotaCredito^;12000001;^^;^.^;563
^000^;^12Egresos^;12000001;^^;^.^;564
^000^;^12Ingresos^;12000001;^^;^.^;565
^000^;^12NotaDebito^;12000001;^^;^.^;566
^000^;^12Egresos^;12000001;^.^;^X^;567
^000^;^12NotaCredito^;12000001;^.^;^X^;568
^000^;^12Diario^;12000001;^.^;^X^;569
^000^;^12Ingresos^;12000001;^.^;^X^;570
^000^;^12NotaDebito^;12000001;^.^;^X^;571
^000^;^12Diario^;12000001;^31/12/2011^;^.^;572
^000^;^12Egresos^;12000001;^31/12/2011^;^.^;573
^000^;^12NotaCredito^;12000003;^31/12/2012^;^.^;574
^000^;^12NotaDebito^;12000013;^31/12/2012^;^.^;575
^000^;^12Ingresos^;12000055;^31/12/2012^;^.^;576
^000^;^12Egresos^;12000066;^31/12/2012^;^.^;577
^000^;^12Diario^;12000311;^31/12/2012^;^.^;578
^001^;^Recibo_No^;1;^.^;^.^;579
^001^;^10Diario^;1;^.^;^.^;580
^001^;^11Diario^;1;^.^;^.^;581
^998^;^PorCodigo^;0;^.^;^.^;582
^998^;^DO_SERIE_001003^;1;^.^;^.^;583
^998^;^PEDIDOS_CLINICA^;1;^.^;^.^;584
^998^;^Articulos^;1;^.^;^.^;585
^998^;^Asiento^;1;^.^;^.^;586
^998^;^Beneficiario^;1;^.^;^.^;587
^998^;^Beneficiarios^;1;^.^;^.^;588
^998^;^Caja Chica^;1;^.^;^.^;589
^998^;^Clientes^;1;^.^;^.^;590
