Item;Formulario;Pos;Codigo;Valor;Formula;Detalle;PosX;PosY;X;ID
^000^;^102^;16;^304^;^.^;^.^;^OTROS ACTIVOS^;10.4;7.4000001;^.^;82
^000^;^106^;12;^305^;^.^;^.^;^CUOTA NUMERO^;15.2;7.0;^.^;83
^000^;^104^;11;^305^;^.^;^.^;^[]DEVOLUCION DE IVA SOLICITADAS EN ESTE MES^;10.4;7.9200001;^X^;84
^000^;^103^;10;^305^;^.^;^.^;^PAGO LOCAL A EXTRANJEROS POR SERVICIOS OCASIONALES^;16.4;6.6999998;^.^;85
^000^;^06A^;14;^305^;^.^;^.^;^CUOTA NUMERO^;6.0;7.8000002;^.^;86
^000^;^104^;11;^305^;^.^;^.^;^()DEVOLUCION DE IVA SOLICITADAS EN ESTE MES^;10.4;7.9200001;^.^;87
^000^;^106^;13;^306^;^.^;^.^;^NUMERO FORMULARIO DECLARACION^;20.200001;7.0;^.^;88
^000^;^103^;11;^307^;^.^;^.^;^POR LOTERIAS RIFAS APUESTAS Y SIMILARES^;16.4;7.0999999;^X^;89
^000^;^103^;11;^307^;^.^;^.^;^POR LOTERÍAS RIFAS APUESTAS Y SIMILARES^;16.4;7.0999999;^.^;90
^000^;^103^;11;^307^;^.^;^.^;^POR LOTER-AS RIFAS APUESTAS Y SIMILARES^;16.4;7.0999999;^X^;91
^000^;^103^;12;^309^;^.^;^.^;^POR ARRENDAMIENTO MERCANTIL^;16.4;7.5999999;^.^;92
^000^;^102^;17;^309^;^.^;^.^;^TOTAL DEL ACTIVO SUMAR DEL 301 AL 304^;10.4;7.8000002;^.^;93
^000^;^103^;13;^311^;^.^;^.^;^POR ARRENDAMIENTO MERCANTIL^;16.4;8.0;^.^;94
^000^;^101^;9;^311^;^.^;^.^;^CAJA BANCOS^;10.4;4.8000002;^.^;95
^000^;^102^;18;^311^;^.^;^.^;^PASIVO CORRIENTE^;10.4;8.6000004;^.^;96
^000^;^102^;19;^312^;^.^;^.^;^PASIVO A LARGO PLAZO^;10.4;9.0;^.^;97
^000^;^103^;14;^313^;^.^;^.^;^POR SEGUROS Y REASEGUROS^;16.4;8.3999996;^.^;98
^000^;^101^;10;^313^;^.^;^.^;^INVERSIONES FINANCIERAS TEMPORALES^;10.4;5.1999998;^.^;99
^000^;^102^;20;^313^;^.^;^.^;^PASIVO DIFERIDO^;10.4;9.3999996;^.^;100
^000^;^102^;21;^314^;^.^;^.^;^OTROS PASIVOS^;10.4;9.8000002;^.^;101
^000^;^103^;15;^315^;^.^;^.^;^POR RENDIMIENTOS FINANCIEROS^;16.4;8.8000002;^.^;102
^000^;^101^;11;^315^;^.^;^.^;^CTAS Y DOCS. POR COBRAR CLIENTES NO RELACIONADOS^;10.4;5.5999999;^.^;103
^000^;^103^;16;^317^;^.^;^.^;^POR INTERESES Y COMISIONES EN OPERACIONES DE CREDITO ENTRE LAS INST. DEL SISTEMA FINANCIERO^;16.4;9.1999998;^X^;104
^000^;^101^;12;^317^;^.^;^.^;^[] PROVISION CUENTAS INCOBRABLES^;10.4;6.0;^X^;105
^000^;^103^;16;^317^;^.^;^.^;^POR INTERESES Y COMISIONES EN OPERACIONES DE CRÉDITO ENTRE LAS INST. DEL SISTEMA FINANCIERO^;16.4;9.1999998;^.^;106
^000^;^101^;12;^317^;^.^;^.^;^() PROVISIÓN CUENTAS INCOBRABLES^;10.4;6.0;^.^;107
^000^;^101^;12;^317^;^.^;^.^;^[] PROVISIÓN CUENTAS INCOBRABLES^;10.4;6.0;^X^;108
^000^;^101^;12;^317^;^.^;^.^;^[] PROVISIÓN CUENTAS INCOBRABLES^;10.4;6.0;^X^;109
^000^;^101^;12;^317^;^.^;^.^;^[] PROVISIËN CUENTAS INCOBRABLES^;10.4;6.0;^X^;110
^000^;^103^;16;^317^;^.^;^.^;^POR INTERESES Y COMISIONES EN OPERACIONES DE CR+DITO ENTRE LAS INST. DEL SISTEMA FINANCIERO^;16.4;9.1999998;^X^;111
^000^;^103^;17;^319^;^.^;^.^;^POR LA COMPRA DE COMBUSTIBLES^;16.4;9.6999998;^.^;112
^000^;^101^;13;^319^;^.^;^C1.1.02+C2.1.01^;^CTAS. Y DOC. POR COBRAR CLIENTES RELACIONADOS^;10.4;6.4000001;^.^;113
^000^;^102^;22;^319^;^.^;^.^;^TOTAL PASIVOS^;10.4;10.3;^.^;114
^000^;^103^;18;^321^;^.^;^.^;^POR SERVICIOS PETROLEROS^;16.4;10.1;^.^;115
^000^;^101^;14;^321^;^.^;^.^;^OTRAS CUENTAS POR COBRAS^;10.4;6.8000002;^.^;116
^000^;^101^;15;^323^;^.^;^.^;^CREDITO TRIBUTARIO A FAVOR DE LA EMPRESA [IVA]^;10.4;7.1999998;^X^;117
^000^;^103^;19;^323^;^.^;^.^;^POR OTRAS TRANSACCIONES DE BIENES ACTIVOS FIJOS^;16.4;10.5;^.^;118
^000^;^101^;15;^323^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA)^;10.4;7.1999998;^.^;119
^000^;^101^;15;^323^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA [IVA]^;10.4;7.1999998;^X^;120
^000^;^101^;15;^323^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA [IVA]^;10.4;7.1999998;^X^;121
^000^;^101^;15;^323^;^.^;^.^;^CR+DITO TRIBUTARIO A FAVOR DE LA EMPRESA [IVA]^;10.4;7.1999998;^X^;122
^000^;^101^;16;^325^;^.^;^.^;^CREDITO TRIBUTARIO A FAVOR DE LA EMPRESA [I. RENTA]^;10.4;7.5999999;^X^;123
^000^;^103^;20;^325^;^.^;^.^;^POR OTRAS TRANSACCIONES DE BIENES ACTIVOS CORRIENTES^;16.4;10.9;^.^;124
^000^;^101^;16;^325^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (I. RENTA)^;10.4;7.5999999;^.^;125
^000^;^101^;16;^325^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA [I. RENTA]^;10.4;7.5999999;^X^;126
^000^;^101^;16;^325^;^.^;^.^;^CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA [I. RENTA]^;10.4;7.5999999;^X^;127
^000^;^101^;16;^325^;^.^;^.^;^CR+DITO TRIBUTARIO A FAVOR DE LA EMPRESA [I. RENTA]^;10.4;7.5999999;^X^;128
^000^;^101^;17;^326^;^.^;^.^;^INVENTARIO DE MATERIA PRIMA^;10.4;8.0;^.^;129
^000^;^103^;21;^327^;^.^;^.^;^POR OTRAS TRANSACCIONES DE SERVICIOS^;16.4;11.4;^.^;130
^000^;^101^;18;^327^;^.^;^.^;^INVENTARIO DE PRODUCTOS EN PROCESO^;10.4;8.3999996;^.^;131
^000^;^101^;19;^328^;^.^;^.^;^INVENTARIO DE SUMINISTROS Y MATERIALES^;10.4;8.8000002;^.^;132
^000^;^103^;22;^329^;^.^;^.^;^POR COMISIONES^;16.4;11.8;^.^;133
^000^;^101^;20;^329^;^.^;^.^;^INVENTARIO DE PROD. TERM. Y MERCAD. EN ALMACEN^;10.4;9.1999998;^.^;134
^000^;^102^;23;^329^;^.^;^.^;^TOTAL PATRIMONIO NETO^;10.4;10.7;^.^;135
^000^;^101^;21;^330^;^.^;^.^;^MERCADERIA EN TRANSITO^;10.4;9.6000004;^X^;136
^000^;^101^;21;^330^;^.^;^.^;^MERCADERIA EN TRÁNSITO^;10.4;9.6000004;^.^;137
^000^;^101^;21;^330^;^.^;^.^;^MERCADERIA EN TR-NSITO^;10.4;9.6000004;^X^;138
^000^;^103^;23;^331^;^.^;^.^;^POR PAGO O CREDITOS EN CUENTA REALIZADOS POR EMPRESAS EMISORAS DE TARJETAS DE CREDITO^;16.4;12.2;^X^;139
^000^;^103^;23;^331^;^.^;^.^;^POR PAGO O CRÉDITOS EN CUENTA REALIZADOS POR EMPRESAS EMISORAS DE TARJETAS DE CRÉDITO^;16.4;12.2;^.^;140
^000^;^101^;22;^331^;^.^;^.^;^INVENTARIO REPUESTOS HERRAMIENTAS Y ACCESORIOS^;10.4;10.0;^.^;141
^000^;^103^;23;^331^;^.^;^.^;^POR PAGO O CR+DITOS EN CUENTA REALIZADOS POR EMPRESAS EMISORAS DE TARJETAS DE CR+DITO^;16.4;12.2;^X^;142
^000^;^101^;23;^332^;^.^;^.^;^SEGUROS PAGADOS POR ANTICIPADO^;10.4;10.4;^.^;143
^000^;^103^;24;^333^;^.^;^.^;^POR REGALIAS DERECHOS DE AUTOR MARCAS PATENTES Y SIMILARES^;16.4;12.6;^X^;144
^000^;^103^;24;^333^;^.^;^.^;^POR REGALÍAS DERECHOS DE AUTOR MARCAS PATENTES Y SIMILARES^;16.4;12.6;^.^;145
^000^;^101^;24;^333^;^.^;^.^;^ARRIENDOS PAGADOS POR ANTICIPADO^;10.4;10.8;^.^;146
^000^;^103^;24;^333^;^.^;^.^;^POR REGAL-AS DERECHOS DE AUTOR MARCAS PATENTES Y SIMILARES^;16.4;12.6;^X^;147
^000^;^101^;25;^334^;^.^;^.^;^DIVIDENDOS PAGADOS POR ANTICIPADO^;10.4;11.2;^.^;148
^000^;^103^;25;^335^;^.^;^.^;^POR REMUNERACIONES A DEPORTISTAS ENTRENADORES CUERPO TECNICO ARBITROS ARTISTAS NACIONALES Y EXTRA^;16.4;13.1;^X^;149
^000^;^103^;25;^335^;^.^;^.^;^POR REMUNERACIONES A DEPORTISTAS ENTRENADORES CUERPO TÉCNICO ÁRBITROS ARTISTAS NACIONALES Y EXTRA^;16.4;13.1;^.^;150
^000^;^103^;25;^335^;^.^;^.^;^POR REMUNERACIONES A DEPORTISTAS ENTRENADORES CUERPO T+CNICO -RBITROS ARTISTAS NACIONALES Y EXTRA^;16.4;13.1;^X^;151
^000^;^103^;26;^337^;^.^;^.^;^POR PAGOS REALIZADOS A NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANITLES^;16.4;13.5;^.^;152
^000^;^101^;26;^338^;^.^;^.^;^OTROS ACTIVOS CORRIENTES^;10.4;11.6;^.^;153
^000^;^103^;27;^339^;^.^;^.^;^POR PAGOS DE DIVIDENDOS ANTICIPADOS^;16.4;13.9;^.^;154
^000^;^101^;27;^339^;^.^;^.^;^TOTAL ACTIVO CORRIENTE^;10.4;12.0;^.^;155
^000^;^102^;24;^339^;^.^;^.^;^TOTAL PASIVO Y PATRIMONIO^;10.4;11.1;^.^;156
^000^;^101^;28;^341^;^.^;^.^;^TERRENOS^;10.4;13.5;^.^;157
^000^;^102^;25;^341^;^.^;^.^;^VENTAS NETAS GRAVADAS CON TARIFA 12% Y 14%^;10.4;12.8;^.^;158
^000^;^102^;26;^342^;^.^;^.^;^VENTAS NETAS GRAVADAS CON TARIFA CERO^;10.4;13.2;^.^;159
^000^;^101^;29;^343^;^.^;^.^;^EDIFICIOS^;10.4;13.9;^.^;160
^000^;^102^;27;^343^;^.^;^.^;^UTILIDAD EN VENTA DE ACTIVOS FIJOS^;10.4;13.6;^.^;161
^000^;^102^;28;^344^;^.^;^.^;^EXPORTACIONES NETAS^;10.4;14.1;^.^;162
^000^;^101^;30;^345^;^.^;^.^;^INSTALACIONES MAQUINARIAS MUEBLES ENSERES Y EQUIPOS^;10.4;14.3;^.^;163
^000^;^102^;29;^345^;^.^;^.^;^RENDIMIENTO FINANCIERO^;10.4;14.5;^.^;164
^000^;^102^;30;^346^;^.^;^.^;^OTRAS RENTAS^;10.4;14.9;^.^;165
^000^;^101^;31;^347^;^.^;^.^;^EQUIPO DE COMPUTACION Y SOFTWARE^;10.4;14.7;^X^;166
^000^;^101^;31;^347^;^.^;^.^;^EQUIPO DE COMPUTACIÓN Y SOFTWARE^;10.4;14.7;^.^;167
^000^;^101^;31;^347^;^.^;^.^;^EQUIPO DE COMPUTACIËN Y SOFTWARE^;10.4;14.7;^X^;168
^000^;^101^;32;^349^;^.^;^.^;^VEHICULOS EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MOVIL^;10.4;15.1;^X^;169
^000^;^101^;32;^349^;^.^;^.^;^VEHICULOS EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL^;10.4;15.1;^.^;170
^000^;^102^;31;^349^;^.^;^.^;^TOTAL INGRESOS^;10.4;15.4;^.^;171
^000^;^101^;32;^349^;^.^;^.^;^VEHICULOS EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MËVIL^;10.4;15.1;^X^;172
^000^;^103^;28;^351^;^.^;^.^;^IMPUESTO 301^;22.0;5.8000002;^.^;173
^000^;^101^;33;^351^;^.^;^.^;^OTROS ACTIVOS FIJOS TANGIBLES^;10.4;15.5;^.^;174
^000^;^102^;32;^351^;^.^;^.^;^INVENTARIO INICIAL BIENES NO PRODUCIDOS POR EL CONTRIBUYENTE^;10.4;16.700001;^.^;175
^000^;^104^;12;^351^;^.^;^.^;^SALDOS DEL MES ANTERIOR^;21.5;7.02;^.^;176
^000^;^102^;33;^352^;^.^;^.^;^COMPRAS NETAS E IMPORTACIONES DE BIENES NO PROD. POR EL CONTRIBUYENTE^;10.4;17.200001;^.^;177
^000^;^101^;34;^353^;^.^;^.^;^[] DEPRECIACION ACUMULADA ACTIVO FIJO^;10.4;15.9;^X^;178
^000^;^104^;13;^353^;^.^;^.^;^[+]SOLICITUDES DE DEVOLUCION DEL IVA PRESENTADAS EN ESTE MES^;21.5;7.4200001;^X^;179
^000^;^103^;29;^353^;^.^;^.^;^IMPUESTO 303^;22.0;6.3000002;^.^;180
^000^;^101^;34;^353^;^.^;^.^;^() DEPRECIACIÓN ACUMULADA ACTIVO FIJO^;10.4;15.9;^.^;181
^000^;^102^;34;^353^;^.^;^.^;^IMPORTACION DE BIENES NO PRODUCIDOS POR EL CONTRIBUYENTE^;10.4;17.6;^.^;182
^000^;^104^;13;^353^;^.^;^.^;^(+)SOLICITUDES DE DEVOLUCION DEL IVA PRESENTADAS EN ESTE MES^;21.5;7.4200001;^.^;183
^000^;^101^;34;^353^;^.^;^.^;^[] DEPRECIACIÓN ACUMULADA ACTIVO FIJO^;10.4;15.9;^X^;184
^000^;^101^;34;^353^;^.^;^.^;^[] DEPRECIACIÓN ACUMULADA ACTIVO FIJO^;10.4;15.9;^X^;185
^000^;^101^;34;^353^;^.^;^.^;^[] DEPRECIACIËN ACUMULADA ACTIVO FIJO^;10.4;15.9;^X^;186
^000^;^102^;35;^354^;^.^;^.^;^[] INVENTARIO FINAL DE BIENES NO PRODUCIDAS POR EL CONTRIBUYENTE^;10.4;18.0;^X^;187
^000^;^102^;35;^354^;^.^;^.^;^() INVENTARIO FINAL DE BIENES NO PRODUCIDAS POR EL CONTRIBUYENTE^;10.4;18.0;^.^;188
^000^;^101^;35;^355^;^.^;^.^;^[] DEPRECIACION ACUMULADA ACELERADA DE VEHICULOS EQUIPO DE TRANSPORTE Y EQUIPO CAMINERO MOVIL^;10.4;16.299999;^X^;189
^000^;^104^;14;^355^;^.^;^.^;^[]DEVOLUCIONES RESIBIDAS EN EL MES^;21.5;7.8200002;^X^;190
^000^;^103^;30;^355^;^.^;^.^;^IMPUESTO 305^;22.0;6.6999998;^.^;191
^000^;^101^;35;^355^;^.^;^.^;^() DEPRECIACIÓN ACUMULADA ACELERADA DE VEHÍCULOS EQUIPO DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL^;10.4;16.299999;^.^;192
^000^;^102^;36;^355^;^.^;^.^;^INVENTARIO INICIAL DE MATERIA PRIMA^;10.4;18.4;^.^;193
^000^;^104^;14;^355^;^.^;^.^;^()DEVOLUCIONES RESIBIDAS EN EL MES^;21.5;7.8200002;^.^;194
^000^;^101^;35;^355^;^.^;^.^;^[] DEPRECIACIÓN ACUMULADA ACELERADA DE VEHÍCULOS EQUIPO DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL^;10.4;16.299999;^X^;195
^000^;^101^;35;^355^;^.^;^.^;^[] DEPRECIACIÓN ACUMULADA ACELERADA DE VEHÍCULOS EQUIPO DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL^;10.4;16.299999;^X^;196
^000^;^101^;35;^355^;^.^;^.^;^[] DEPRECIACIËN ACUMULADA ACELERADA DE VEH-CULOS EQUIPO DE TRANSPORTE Y EQUIPO CAMINERO MËVIL^;10.4;16.299999;^X^;197
^000^;^102^;37;^356^;^.^;^.^;^COMPRAS E IMPORTACIONES DE MATERIA PRIMA^;10.4;18.799999;^.^;198
^000^;^102^;38;^357^;^.^;^.^;^[] INVENTARIO FINAL DE MATERIA PRIMA^;10.4;19.200001;^X^;199
^000^;^104^;15;^357^;^.^;^.^;^[=]SALDO FINAL DEL MES 351+353 355^;21.5;8.3199997;^X^;200
^000^;^103^;31;^357^;^.^;^.^;^IMPUESTO 307^;22.0;7.0999999;^.^;201
^000^;^102^;38;^357^;^.^;^.^;^() INVENTARIO FINAL DE MATERIA PRIMA^;10.4;19.200001;^.^;202
^000^;^104^;15;^357^;^.^;^.^;^(=)SALDO FINAL DEL MES 351+353 355^;21.5;8.3199997;^.^;203
^000^;^102^;39;^358^;^.^;^.^;^MANO DE OBRA DIRECTA^;22.0;5.3000002;^.^;204
^000^;^103^;32;^359^;^.^;^.^;^IMPUESTO 309^;22.0;7.5999999;^.^;205
^000^;^101^;36;^359^;^.^;^.^;^TOTAL ACTIVO FIJO TANGIBLE^;10.4;16.700001;^.^;206
^000^;^102^;40;^359^;^.^;^.^;^MANO DE OBRA INDIRECTA^;22.0;5.6999998;^.^;207
^000^;^102^;41;^360^;^.^;^.^;^GASTOS DE FABRICACION^;22.0;6.0999999;^.^;208
^000^;^103^;33;^361^;^.^;^.^;^IMPUESTO 311^;22.0;8.0;^.^;209
^000^;^101^;37;^361^;^.^;^.^;^MARCAS PATENTES DERECHOS DE LLAVE Y OTROS SIMILARES^;10.1;17.700001;^.^;210
^000^;^102^;42;^361^;^.^;^.^;^INVENTARIO INICIAL DE PRODUCCION EN PROCESO^;22.0;6.5;^.^;211
^000^;^102^;43;^362^;^.^;^.^;^[]INVENTARIO FINAL DE PRODUCCION EN PROCESO^;22.0;6.9000001;^X^;212
^000^;^102^;43;^362^;^.^;^.^;^()INVENTARIO FINAL DE PRODUCCION EN PROCESO^;22.0;6.9000001;^.^;213
^000^;^101^;38;^363^;^.^;^.^;^[] AMORTIZACION ACUMULADA^;10.1;18.1;^X^;214
^000^;^103^;34;^363^;^.^;^.^;^IMPUESTO 313^;22.0;8.3999996;^.^;215
^000^;^101^;38;^363^;^.^;^.^;^() AMORTIZACION ACUMULADA^;10.1;18.1;^.^;216
^000^;^102^;44;^363^;^.^;^.^;^INVENTARIO INICIAL DE PRODUCTOS TERMINADOS^;22.0;7.4000001;^.^;217
^000^;^102^;45;^364^;^.^;^.^;^[]INVENTARIO FINAL DE PRODUCTOS TERMINADOS^;22.0;7.8000002;^X^;218
^000^;^102^;45;^364^;^.^;^.^;^()INVENTARIO FINAL DE PRODUCTOS TERMINADOS^;22.0;7.8000002;^.^;219
^000^;^103^;35;^365^;^.^;^.^;^IMPUESTO 315^;22.0;8.8000002;^.^;220
^000^;^102^;46;^365^;^.^;^.^;^BAJA DE INVENTARIOS^;22.0;8.1999998;^.^;221
^000^;^103^;36;^367^;^.^;^.^;^IMPUESTO 317^;22.0;9.1999998;^.^;222
