TP;Codigo_C;Corresponsal;Telefono;FAX;Comision;Comision1;Sinonimo;Cta_CxCxP;Cta_Comision;Desde0;Desde1;Desde2;Desde3;Desde4;Desde5;Desde6;Desde7;Desde8;Desde9;Desde10;Desde11;Desde12;Desde13;Desde14;Desde15;Hasta0;Hasta1;Hasta2;Hasta3;Hasta4;Hasta5;Hasta6;Hasta7;Hasta8;Hasta9;Hasta10;Hasta11;Hasta12;Hasta13;Hasta14;Hasta15;Item;Itemxx;Periodo;X;ID
0;^01^;^MASTER ENVIOS^;^.^;^.^;1.5;0.0;^MEU^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;17
0;^02^;^RASAM EXPRESS^;^.^;^.^;2.0;0.0;^RAS^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;18
0;^04^;^GIROS SEGUROSEURAMERICA^;^00441712406500^;^00441712405229^;2.0;0.0;^SEG^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;19
0;^05^;^EUROPHIL^;^0034914670699^;^0034915276244^;1.5;0.0;^EUR^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;20
1;^01.01^;^MASTER ENVIOS UNIDOS^;^.^;^.^;1.5;0.0;^MEU^;^1.1.08.01.02^;^4.1.01.02^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^.^;21
1;^02.01^;^RASAM EXPRESS MADRID^;^.^;^.^;2.0;0.0;^RASM^;^1.1.08.01.01^;^4.1.01.01^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;22
1;^02.02^;^RASAM EXPRESS VALENCIA^;^.^;^.^;2.0;0.0;^RASV^;^1.1.08.01.01^;^4.1.01.01^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;23
1;^02.03^;^RASAM EXPRESS BARCELONA^;^.^;^.^;2.0;0.0;^RASB^;^1.1.08.01.01^;^4.1.01.01^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;24
1;^03.01^;^PARADISE^;^.^;^.^;2.0;0.0;^PAR^;^1.1.08.01.04^;^4.1.01.04^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;25
1;^08.01^;^SERVICIO OLIVO^;^004112424240^;^004112424239^;2.0;0.0;^SOL^;^1.1.08.01.09^;^4.1.01.09^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;26
1;^04.01^;^GIROS SEGUROS^;^0044-171-2406500^;^0044-171-2405229^;2.0;0.0;^SEG^;^1.1.08.01.06^;^4.1.01.06^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;27
1;^05.01^;^EUROPHIL ESPAÑA^;^0034-914670699^;^0034-91-5276244^;1.3;0.0;^EUR^;^1.1.08.01.03^;^4.1.01.03^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^.^;28
1;^05.02^;^EUROPHIL BELGICA^;^0034-914670699^;^0034-91-5276244^;1.03;0.0;^ECZ^;^1.1.08.01.24^;^4.1.01.24^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^.^;29
1;^05.03^;^EUROPHIL INGLATERRA^;^0034-914670699^;^0034-91-5276244^;1.5;0.0;^ECX^;^1.1.08.01.27^;^4.1.01.27^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^.^;30
1;^06.01^;^GIRO EXPRESS^;^1201-8685559^;^1201-8686682^;2.0;0.0;^EXP^;^1.1.08.01.05^;^4.1.01.05^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;31
1;^07.01^;^MUNDI DOLLARS^;^0033-143218716^;^0033-143353557^;2.0;0.0;^MUD^;^1.1.08.01.10^;^4.1.01.10^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;32
1;^09.01^;^ALFA Y OMEGA^;^524-66-22^;^534-26-06^;2.25;0.0;^ALF^;^1.1.08.01.20^;^4.1.01.20^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;33
1;^10.01^;^AMERICANA DE SERVICIOS^;^225-55059^;^225-4855^;1.5;0.0;^AME^;^1.1.08.01.07^;^4.1.01.07^;1;212;0;0;0;0;272;0;392;332;452;16;116;131;166;0;15;271;0;0;0;0;331;0;431;391;454;115;130;165;195;0;^000^;^.^;^.^;^.^;34
1;^05.02^;^EUROPHIL BELGICA^;^0034914670699^;^0034915276244^;1.03;0.0;^ECZ^;^1.1.08.01.24^;^4.1.01.24^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^X^;35
1;^04.01^;^GIROS SEGUROS^;^00441712406500^;^00441712405229^;2.0;0.0;^SEG^;^1.1.08.01.06^;^4.1.01.06^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;36
1;^05.03^;^EUROPHIL INGLATERRA^;^0034914670699^;^0034915276244^;1.5;0.0;^ECX^;^1.1.08.01.27^;^4.1.01.27^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^X^;37
1;^06.01^;^GIRO EXPRESS^;^12018685559^;^12018686682^;2.0;0.0;^EXP^;^1.1.08.01.05^;^4.1.01.05^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;38
1;^07.01^;^MUNDI DOLLARS^;^0033143218716^;^0033143353557^;2.0;0.0;^MUD^;^1.1.08.01.10^;^4.1.01.10^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;39
1;^09.01^;^ALFA Y OMEGA^;^5246622^;^5342606^;2.25;0.0;^ALF^;^1.1.08.01.20^;^4.1.01.20^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;40
1;^10.01^;^AMERICANA DE SERVICIOS^;^22555059^;^2254855^;1.5;0.0;^AME^;^1.1.08.01.07^;^4.1.01.07^;1;212;0;0;0;0;272;0;392;332;452;16;116;131;166;0;15;271;0;0;0;0;331;0;431;391;454;115;130;165;195;0;^000^;^.^;^.^;^X^;41
1;^05.01^;^EUROPHIL ESPANA^;^0034914670699^;^0034915276244^;1.3;0.0;^EUR^;^1.1.08.01.03^;^4.1.01.03^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^X^;42
1;^05.01^;^EUROPHIL ESPAÑA^;^0034914670699^;^0034915276244^;1.3;0.0;^EUR^;^1.1.08.01.03^;^4.1.01.03^;1;196;0;0;0;0;256;0;316;0;436;16;116;131;166;0;15;255;0;0;0;0;315;0;355;0;438;115;130;165;195;0;^000^;^.^;^.^;^X^;43
