Codigo;Concepto;Porcentaje;Ingresar_Porcentaje;Fecha_Inicio;Fecha_Final;T;Tipo_Pago;ID
^326^;^Por Intereses y Comisiones en Operaciones de Credito entre las Instituciones Sistema Financiero [N]^;1.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;53
^327^;^Venta de Combustibles a Comercializadoras^;0.2;^S^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;54
^328^;^Venta de Combustibles a Distribuidoras^;0.30000001;^S^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;55
^329^;^Por Otros Servicios [N]^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;56
^330^;^Pagos de Dividendos Anticipados^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;57
^331^;^Por Agua Energia Luz y Telecomunicaciones [N]^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;58
^332^;^Otras Compras de Bienes y Servicios no Sujetas a Retencion [N]^;0.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;59
^333^;^Convenio de Debito o Recaudacion^;0.0;^S^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;60
^334^;^Pago con Tarjeta de Credito^;0.0;^S^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;61
^335^;^Por actividades de construccion de obra material inmueble urbanizacion lotizacion o actividades similares^;0.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^S^;^L^;62
^401^;^Base Imponible Conv.Doble Tributacion^;0.0;^S^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;63
^403^;^Intereses y Costos Financieros por Financiamiento de Proveedores Externos [N]^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;64
^407^;^Intereses de Creditos Externos no registrados en el BCE [N]^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;65
^409^;^Comisiones y Exportaciones [N]^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;66
^410^;^Convenio de Doble Tributacion^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;67
^411^;^Comisiones Pagadas para la Promocion del Turismo Receptivo [N]^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;68
^413^;^El 4% de las Primas de Cesion o Reaseguros Contratados con Empresas que no tengan establecimiento o representacion permanente en E^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;69
^415^;^10% de los Pagos efectuados por las Agencias Internacionales de Prensa registradas en la Secretaria de Comunicacion del Estado^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;70
^417^;^El 10% del Valor de los Contratos de Fletamento de Naves para Empresas de Transporte Aereo o Maritimo Internacional [N]^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;71
^423^;^B. Imponible Arrendamiento Mercantil Internacional por Pago de Intereses^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;72
^425^;^B. Imponible Arrendamiento Mercantil Internacional cuando no se ejerce la opcion de Compra^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;73
^303^;^Honorarios Personas Naturales^;5.0;^N^;^Jan  1 2007 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;74
^320^;^Arrendamiento de Bienes Inmuebles de Propiedad de Personas Naturales^;5.0;^N^;^Jan  1 2007 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;75
^303^;^Honorarios comisiones y dietas a personas naturales^;8.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;76
^304^;^Remuneracion a Otros Trabajadores Autonomos [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;77
^306^;^Compras Locales de Materia Prima [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;78
^307^;^Compras Locales de Bienes No Producidos por la Sociedad [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;79
^309^;^Suministros y Materiales [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;80
^310^;^Repuestos y Herramientas [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;81
^311^;^Lubricantes [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;82
^312^;^Activos Fijos [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;83
^314^;^Regalias Derechos de Autor Marcas Patentes y Similares - Sociedades^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;84
^315^;^Remuneraciones a Deportistas Entrenadores Cuerpo Tecnico y Arbitros^;8.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;85
^317^;^Por Comisiones Pagadas a Sociedades [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;86
^318^;^Por Promocion y Publicidad [N]^;2.0;^S^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;87
^319^;^Pagos por Arrendamientos Mercantil^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;88
^320^;^Arrendamiento de Bienes Inmuebles de Propiedad de Personas Naturales^;8.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;89
^321^;^Arrendamiento de Bienes Inmuebles de Propiedad de Sociedades [N]^;8.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;90
^322^;^Pagos por Seguros y Reaseguros [10% del valor de las primas facturadas]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;91
^323^;^Pagos por Rendimientos Financieros^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;92
^323A^;^RF: Depositos Cuenta Corriente^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;93
^323B1^;^RF: Depositos Cuenta Ahorros Sociedades^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;94
^323D^;^RF: Compra Cancelacion o Redencion de Mini Bems y Bems 5^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;95
^323E^;^RF: Deposito a Plazo^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;96
^323F^;^RF: Operaciones de Reporto - REPOS^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;97
^323G^;^RF: Inversiones [Captaciones]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;98
^323H^;^RF: Obligaciones^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;99
^323I^;^RF: Bonos Convertible en Acciones^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;100
^323J^;^RF: Bonos de Organismos y Gobiernos extranjeros^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;101
^323K^;^RF:Entre IFIs^;2.0;^S^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;102
^324^;^Pagos o Creditos en Cuenta Real. Empresas Emis. Tarjetas de Credito^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;103
^329^;^Por Otros Servicios [N]^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;104
^331^;^Por Agua Energia Luz y Telecomunicaciones [N]^;1.0;^S^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;105
^335^;^Por actividades de construccion de obra material inmueble urbanizacion lotizacion o actividades similares^;2.0;^N^;^Jul  1 2007 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;106
^306^;^Compras Locales de Materia Prima [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;107
^307^;^Compras Locales de Bienes No Producidos por la Sociedad [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;108
^309^;^Suministros y Materiales [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;109
^310^;^Repuestos y Herramientas [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;110
^311^;^Lubricantes [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;111
^312^;^Activos Fijos [N]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;112
^322^;^Pagos por Seguros y Reaseguros [10% del valor de las primas facturadas]^;1.0;^N^;^Apr  1 2008 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;113
^303^;^Honorarios profesionales y dietas^;8.0;^N^;^Jan  1 2009 12:00AM^;^May 31 2010 12:00AM^;^S^;^L^;114
^304^;^Servicios predomina el intelecto^;8.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;115
^307^;^Servicios predomina la mano de obra^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;116
^308^;^Servicios entre sociedades^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;117
^309^;^Servicios publicidad y comunicacion^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;118
^310^;^Servicio transporte privado de pasajeros o servicio publico o privado de carga^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;119
^312^;^Transferencia de bienes muebles de naturaleza corporal^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;120
^319^;^Arrendamiento mercantil^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;121
^320^;^Arrendamiento bienes inmuebles^;8.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;122
^322^;^Seguros y reaseguros [primas y cesiones]^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;123
^323^;^Por rendimientos financieros [No aplica para IFIs]^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;124
^323A^;^Por RF: depositos Cta Corriente^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;125
^323B1^;^Por RF: depositos Cta Ahorros Sociedades^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;126
^323B2^;^Por RF: depositos Cta Ahorros Persona Natural^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;127
^323C^;^Por rendimientos financieros: depositos en cuentas exentas^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;128
^323D^;^Por rendimientos financieros: compra cancelacion o redencion de mini bem´s y bem´s^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;129
^323E^;^Por RF: deposito a plazo^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;130
^323F^;^Por rendimientos financieros: operaciones de reporto - repos^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;131
^323G^;^Por RF: inversiones [captaciones]^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;132
^323H^;^Por RF: obligaciones^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;133
^323I^;^Por RF: bonos convertible en acciones^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;134
^323J^;^Por RF: bonos de organismos y gobiernos extranjeros^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;135
^323K^;^Por RF: entre IFIs^;2.0;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;136
^325^;^Por loterias rifas apuestas y similares^;15.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;137
^327^;^Por venta de combustibles a comercializadoras [2/ml]^;0.30000001;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;138
^328^;^Por venta de combustibles a distribuidores [2/ml]^;0.2;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;139
^332^;^Otras compras de bienes y servicios no sujetas a retencion^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;140
^333^;^Convenio de Debito o Recaudacion^;0.0;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;141
^334^;^Por compras con tarjeta de credito^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;142
^340^;^Otras retenciones aplicables el 1%^;1.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;143
^341^;^Otras retenciones aplicables el 2%^;2.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;144
^342^;^Otras retenciones aplicables el 8%^;8.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;145
^343^;^Otras retenciones aplicables el 25%^;25.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;146
^401^;^Con convenio de doble tributacion^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;147
^403^;^Sin convenio de doble tributacion intereses y costos financieros por financiamiento de proveedores externos [en la cuantia que excede a la tasa maxima^;25.0;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;148
^405^;^Sin convenio de doble tributacion intereses de creditos externos registrados en el BCE [en la cuantia que excede a la tasa maxima]^;25.0;^S^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;149
^421^;^Sin convenio de doble tributacion por otros conceptos^;25.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;150
^427^;^Pagos al exterior no sujetos a retencion^;0.0;^N^;^Jan  1 2009 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;151
^303^;^Honorarios profesionales y dietas^;10.0;^S^;^Jun  1 2010 12:00AM^;^Dec 31 2012 12:00AM^;^S^;^L^;152
^337^;^Reembolsos de Gastos Compras de Quien Asume el Gasto^;0.0;^S^;^Jan  1 2011 12:00AM^;^Dec 31 2012 12:00AM^;^N^;^L^;153
^302^;^Honorarios Personas Naturales^;5.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;154
^303^;^Honorarios profesionales y dietas^;10.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;155
^304^;^Servicios predomina el intelecto^;8.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;156
^305^;^Pagos por Arrendamiento Mercantil^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;157
^306^;^Arrendamiento de Bienes Inmuebles de Propiedad de Personas Naturales^;5.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;158
^307^;^Servicios predomina la mano de obra^;2.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;159
^308^;^Servicios entre sociedades^;2.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;160
^309^;^Servicios publicidad y comunicacion^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;161
^310^;^Servicio transporte privado de pasajeros o servicio publico o privado de carga^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;162
^312^;^Transferencia de bienes muebles de naturaleza corporal^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;163
^315^;^Pagos por Comisiones^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;164
^316^;^Pagos o Creditos en Cuenta Real. Empresas Emis. Tarjetas de Credito^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;165
^317^;^Regalias Derechos de Autor Marcas Patentes y Similares^;8.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;166
^319^;^Arrendamiento mercantile^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;167
^320^;^Arrendamiento bienes inmuebles^;8.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;168
^321^;^Pagos por Servicios Petroleros^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;169
^322^;^Seguros y reaseguros [primas y cesiones]^;1.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;170
^323^;^Por rendimientos financieros [No aplica para IFIs]^;2.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;171
^323A^;^Por RF: depositos Cta Corriente^;2.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;172
^323B1^;^Por RF: depositos Cta Ahorros Sociedades^;2.0;^N^;^Jan  1 2013 12:00AM^;^Sep 30 2014 12:00AM^;^N^;^L^;173
